run,operation,started,time,status,label,baseline,checkpoint-path,data-seed,dataset,dropout-rate,epochs,from-epoch,hidden-units,l2-weight,learning-rate,net-seed,num-polynomials,patience,verbose,yang-splits,step,bw_accuracy,bw_epoch,bw_loss,bw_test_accuracy,bw_test_loss,bw_val_accuracy,bw_val_loss,epoch_loss,epoch_masked_accuracy
40c466ff,ChebNet|chebnet:train-pubmed,2020-04-18 23:26:09,0:00:24,completed,baseline=0.75 data-seed=5687 net-seed=6083 patience=15 verbose=0 yang-splits=yes,0.75,,5687,pubmed,0.5,200,30,16,0.0005,0.01,6083,4,15,0,True,1,1.0,67.0,0.1600755900144577,0.7390000224113464,0.7609559893608093,0.7480000257492065,0.7367556691169739,0.19629716873168945,0.9833333492279053
5f773b28,ChebNet|chebnet:train-pubmed,2020-04-18 23:25:46,0:00:19,completed,baseline=0.75 data-seed=5687 net-seed=5556 patience=15 verbose=0 yang-splits=yes,0.75,,5687,pubmed,0.5,200,30,16,0.0005,0.01,5556,4,15,0,True,1,1.0,45.0,0.22648796439170837,0.7390000224113464,0.7834717035293579,0.7580000162124634,0.748896062374115,0.25090548396110535,1.0
538a5673,ChebNet|chebnet:train-pubmed,2020-04-18 23:25:21,0:00:22,completed,baseline=0.75 data-seed=5687 net-seed=649 patience=15 verbose=0 yang-splits=yes,0.75,,5687,pubmed,0.5,200,30,16,0.0005,0.01,649,4,15,0,True,1,1.0,57.0,0.19694028794765472,0.7580000162124634,0.7712247371673584,0.765999972820282,0.7441922426223755,0.23547539114952087,0.9833333492279053
21904ebc,ChebNet|chebnet:train-pubmed,2020-04-18 23:24:58,0:00:19,completed,baseline=0.75 data-seed=5687 net-seed=2042 patience=15 verbose=0 yang-splits=yes,0.75,,5687,pubmed,0.5,200,30,16,0.0005,0.01,2042,4,15,0,True,1,1.0,46.0,0.24919873476028442,0.7540000081062317,0.7734026908874512,0.7519999742507935,0.7446330785751343,0.2815278172492981,1.0
211d4a36,ChebNet|chebnet:train-pubmed,2020-04-18 23:24:35,0:00:19,completed,baseline=0.75 data-seed=5687 net-seed=1598 patience=15 verbose=0 yang-splits=yes,0.75,,5687,pubmed,0.5,200,30,16,0.0005,0.01,1598,4,15,0,True,1,1.0,48.0,0.23086056113243103,0.7540000081062317,0.7690079212188721,0.7559999823570251,0.7488058805465698,0.2742709517478943,0.9833333492279053
016cb034,ChebNet|chebnet:train-pubmed,2020-04-18 23:23:59,0:00:32,completed,baseline=0.75 data-seed=5687 net-seed=8591 patience=15 verbose=0 yang-splits=yes,0.75,,5687,pubmed,0.5,200,30,16,0.0005,0.01,8591,4,15,0,True,1,1.0,96.0,0.13268253207206726,0.7689999938011169,0.6921846866607666,0.7919999957084656,0.6507445573806763,0.16333895921707153,1.0
f2de0229,ChebNet|chebnet:train-pubmed,2020-04-18 23:23:27,0:00:29,completed,baseline=0.75 data-seed=5687 net-seed=6991 patience=15 verbose=0 yang-splits=yes,0.75,,5687,pubmed,0.5,200,30,16,0.0005,0.01,6991,4,15,0,True,1,1.0,84.0,0.1382649540901184,0.7549999952316284,0.7236238121986389,0.7599999904632568,0.6904088854789734,0.1827601194381714,1.0
1922dbe2,ChebNet|chebnet:train-pubmed,2020-04-18 23:22:57,0:00:27,completed,baseline=0.75 data-seed=5687 net-seed=5152 patience=15 verbose=0 yang-splits=yes,0.75,,5687,pubmed,0.5,200,30,16,0.0005,0.01,5152,4,15,0,True,1,1.0,76.0,0.152383491396904,0.7450000047683716,0.7515676021575928,0.7540000081062317,0.7452425956726074,0.19244354963302612,1.0
3d0177c9,ChebNet|chebnet:train-pubmed,2020-04-18 23:22:16,0:00:37,completed,baseline=0.75 data-seed=5687 net-seed=819 patience=15 verbose=0 yang-splits=yes,0.75,,5687,pubmed,0.5,200,30,16,0.0005,0.01,819,4,15,0,True,1,1.0,115.0,0.11657049506902695,0.7739999890327454,0.6848466396331787,0.7760000228881836,0.6547967791557312,0.17140048742294312,1.0
23120b1e,ChebNet|chebnet:train-pubmed,2020-04-18 23:21:40,0:00:33,completed,baseline=0.75 data-seed=5687 net-seed=7932 patience=15 verbose=0 yang-splits=yes,0.75,,5687,pubmed,0.5,200,30,16,0.0005,0.01,7932,4,15,0,True,1,1.0,101.0,0.12967759370803833,0.7509999871253967,0.7140875458717346,0.75,0.6897316575050354,0.15901720523834229,1.0
8bc26b42,ChebNet|chebnet:train-pubmed,2020-04-18 23:21:13,0:00:23,completed,baseline=0.75 data-seed=5687 net-seed=3082 patience=15 verbose=0 yang-splits=yes,0.75,,5687,pubmed,0.5,200,30,16,0.0005,0.01,3082,4,15,0,True,1,1.0,60.0,0.17935173213481903,0.7590000033378601,0.7492990493774414,0.7739999890327454,0.725509524345398,0.2266446352005005,0.9666666388511658
605c0588,ChebNet|chebnet:train-pubmed,2020-04-18 23:20:50,0:00:20,completed,baseline=0.75 data-seed=5687 net-seed=1868 patience=15 verbose=0 yang-splits=yes,0.75,,5687,pubmed,0.5,200,30,16,0.0005,0.01,1868,4,15,0,True,1,1.0,49.0,0.2395043969154358,0.7609999775886536,0.7603551149368286,0.7860000133514404,0.7234044671058655,0.22962526977062225,1.0
