run,operation,started,time,status,label,append,baseline,bg,breakpoint,cell,checkpoint-path,data-seed,dataset,dropout-rate,epochs,err,exit,export,from-epoch,hidden-units,instance,l2-weight,learning-rate,line,list,net-seed,no-display,no-import-all,no-stderr,no-stdout,out,patience,proc,verbose,yang-splits,yes,step,bw_accuracy,bw_epoch,bw_loss,bw_test_accuracy,bw_test_loss,bw_val_accuracy,bw_val_loss,epoch_loss,epoch_masked_accuracy
8ec83f64,GCN|gcn:train,2020-04-18 23:02:46,0:00:21,completed,baseline=0.85 data-seed=5687 dataset=pubmed net-seed=6083 verbose=0 yang-splits=yes,False,0.85,False,,False,,5687,pubmed,0.5,250,,False,False,30,16,False,0.0005,0.01,False,False,6083,False,,False,False,,5,,0,True,False,1,0.9833333492279053,208.0,0.4088655710220337,0.7820000052452087,0.8009429574012756,0.7820000052452087,0.7774304747581482,0.4711088538169861,0.9333333373069763
46283c33,GCN|gcn:train,2020-04-18 23:02:18,0:00:23,completed,baseline=0.85 data-seed=5687 dataset=pubmed net-seed=5556 verbose=0 yang-splits=yes,False,0.85,False,,False,,5687,pubmed,0.5,250,,False,False,30,16,False,0.0005,0.01,False,False,5556,False,,False,False,,5,,0,True,False,1,1.0,214.0,0.3871222138404846,0.7870000004768372,0.7847452163696289,0.7839999794960022,0.7591928839683533,0.4184950292110443,0.9833333492279053
43bfb3e7,GCN|gcn:train,2020-04-18 23:01:54,0:00:20,completed,baseline=0.85 data-seed=5687 dataset=pubmed net-seed=649 verbose=0 yang-splits=yes,False,0.85,False,,False,,5687,pubmed,0.5,250,,False,False,30,16,False,0.0005,0.01,False,False,649,False,,False,False,,5,,0,True,False,1,0.9666666388511658,180.0,0.4502521753311157,0.7870000004768372,0.8103086352348328,0.7820000052452087,0.7874728441238403,0.5275560617446899,0.949999988079071
dd223b34,GCN|gcn:train,2020-04-18 23:01:31,0:00:18,completed,baseline=0.85 data-seed=5687 dataset=pubmed net-seed=2042 verbose=0 yang-splits=yes,False,0.85,False,,False,,5687,pubmed,0.5,250,,False,False,30,16,False,0.0005,0.01,False,False,2042,False,,False,False,,5,,0,True,False,1,0.9833333492279053,158.0,0.4680730104446411,0.7829999923706055,0.8095579147338867,0.7739999890327454,0.7871751189231873,0.484470933675766,0.9666666388511658
aaa9c9ad,GCN|gcn:train,2020-04-18 23:01:08,0:00:19,completed,baseline=0.85 data-seed=5687 dataset=pubmed net-seed=1598 verbose=0 yang-splits=yes,False,0.85,False,,False,,5687,pubmed,0.5,250,,False,False,30,16,False,0.0005,0.01,False,False,1598,False,,False,False,,5,,0,True,False,1,0.9833333492279053,179.0,0.45264822244644165,0.7730000019073486,0.8399630784988403,0.7699999809265137,0.8155848979949951,0.5171189904212952,0.9666666388511658
7dbdbba8,GCN|gcn:train,2020-04-18 23:00:44,0:00:19,completed,baseline=0.85 data-seed=5687 dataset=pubmed net-seed=8591 verbose=0 yang-splits=yes,False,0.85,False,,False,,5687,pubmed,0.5,250,,False,False,30,16,False,0.0005,0.01,False,False,8591,False,,False,False,,5,,0,True,False,1,0.9833333492279053,179.0,0.4493526220321655,0.781000018119812,0.8161965012550354,0.7820000052452087,0.791872501373291,0.47637689113616943,0.9333333373069763
cd0632cf,GCN|gcn:train,2020-04-18 23:00:21,0:00:20,completed,baseline=0.85 data-seed=5687 dataset=pubmed net-seed=6991 verbose=0 yang-splits=yes,False,0.85,False,,False,,5687,pubmed,0.5,250,,False,False,30,16,False,0.0005,0.01,False,False,6991,False,,False,False,,5,,0,True,False,1,0.9833333492279053,174.0,0.4285069704055786,0.7839999794960022,0.7979090213775635,0.7900000214576721,0.7753085494041443,0.4998900294303894,0.949999988079071
60106083,GCN|gcn:train,2020-04-18 22:59:56,0:00:21,completed,baseline=0.85 data-seed=5687 dataset=pubmed net-seed=5152 verbose=0 yang-splits=yes,False,0.85,False,,False,,5687,pubmed,0.5,250,,False,False,30,16,False,0.0005,0.01,False,False,5152,False,,False,False,,5,,0,True,False,1,0.9833333492279053,180.0,0.44015374779701233,0.777999997138977,0.8204244375228882,0.7879999876022339,0.7949097156524658,0.4946022033691406,0.949999988079071
8aef22ab,GCN|gcn:train,2020-04-18 22:59:34,0:00:19,completed,baseline=0.85 data-seed=5687 dataset=pubmed net-seed=819 verbose=0 yang-splits=yes,False,0.85,False,,False,,5687,pubmed,0.5,250,,False,False,30,16,False,0.0005,0.01,False,False,819,False,,False,False,,5,,0,True,False,1,0.9666666388511658,174.0,0.42729729413986206,0.7850000262260437,0.8107259273529053,0.7900000214576721,0.785698652267456,0.514483630657196,0.8999999761581421
e9d0e5bd,GCN|gcn:train,2020-04-18 22:59:12,0:00:17,completed,baseline=0.85 data-seed=5687 dataset=pubmed net-seed=7932 verbose=0 yang-splits=yes,False,0.85,False,,False,,5687,pubmed,0.5,250,,False,False,30,16,False,0.0005,0.01,False,False,7932,False,,False,False,,5,,0,True,False,1,0.9666666388511658,141.0,0.48218968510627747,0.7850000262260437,0.8264251947402954,0.7799999713897705,0.8036433458328247,0.6160380244255066,0.9666666388511658
