run,operation,started,time,status,label,baseline,checkpoint-path,data-seed,dataset,dropout-rate,epochs,from-epoch,hidden-units,l2-weight,learning-rate,net-seed,num-polynomials,patience,verbose,yang-splits,step,bw_accuracy,bw_epoch,bw_loss,bw_test_accuracy,bw_test_loss,bw_val_accuracy,bw_val_loss,epoch_loss,epoch_masked_accuracy
0aac29ef,ChebNet|chebnet:train-pubmed,2020-04-17 23:53:18,0:00:23,completed,baseline=0.78 data-seed=5687 net-seed=6083 verbose=0 yang-splits=yes,0.78,,5687,pubmed,0.5,200,30,16,0.0005,0.01,6083,4,10,0,True,1,1.0,66.0,0.1600756049156189,0.7390000224113464,0.7609559893608093,0.7480000257492065,0.7367556691169739,0.1830558180809021,1.0
e8a5c3b5,ChebNet|chebnet:train-pubmed,2020-04-17 23:52:58,0:00:17,completed,baseline=0.78 data-seed=5687 net-seed=5556 verbose=0 yang-splits=yes,0.78,,5687,pubmed,0.5,200,30,16,0.0005,0.01,5556,4,10,0,True,1,1.0,43.0,0.22648796439170837,0.7390000224113464,0.7834716439247131,0.7580000162124634,0.7488960027694702,0.2735220193862915,1.0
713d79c2,ChebNet|chebnet:train-pubmed,2020-04-17 23:52:38,0:00:17,completed,baseline=0.78 data-seed=5687 net-seed=649 verbose=0 yang-splits=yes,0.78,,5687,pubmed,0.5,200,30,16,0.0005,0.01,649,4,10,0,True,1,1.0,41.0,0.25232309103012085,0.7480000257492065,0.7907821536064148,0.7519999742507935,0.7611064910888672,0.276710569858551,0.9833333492279053
d30bbcce,ChebNet|chebnet:train-pubmed,2020-04-17 23:52:18,0:00:18,completed,baseline=0.78 data-seed=5687 net-seed=2042 verbose=0 yang-splits=yes,0.78,,5687,pubmed,0.5,200,30,16,0.0005,0.01,2042,4,10,0,True,1,1.0,45.0,0.24919873476028442,0.7540000081062317,0.7734026908874512,0.7519999742507935,0.7446330785751343,0.2635232210159302,1.0
bb8f09d4,ChebNet|chebnet:train-pubmed,2020-04-17 23:51:56,0:00:19,completed,baseline=0.78 data-seed=5687 net-seed=1598 verbose=0 yang-splits=yes,0.78,,5687,pubmed,0.5,200,30,16,0.0005,0.01,1598,4,10,0,True,1,1.0,47.0,0.23086056113243103,0.7540000081062317,0.7690079212188721,0.7559999823570251,0.7488058805465698,0.24431028962135315,0.9833333492279053
e584a9c4,ChebNet|chebnet:train-pubmed,2020-04-17 23:51:28,0:00:26,completed,baseline=0.78 data-seed=5687 net-seed=8591 verbose=0 yang-splits=yes,0.78,,5687,pubmed,0.5,200,30,16,0.0005,0.01,8591,4,10,0,True,1,1.0,77.0,0.157593235373497,0.7689999938011169,0.7150155901908875,0.7739999890327454,0.6744616031646729,0.19472840428352356,1.0
df0610e6,ChebNet|chebnet:train-pubmed,2020-04-17 23:51:04,0:00:21,completed,baseline=0.78 data-seed=5687 net-seed=6991 verbose=0 yang-splits=yes,0.78,,5687,pubmed,0.5,200,30,16,0.0005,0.01,6991,4,10,0,True,1,1.0,56.0,0.19125333428382874,0.7580000162124634,0.7684600949287415,0.7720000147819519,0.7341001629829407,0.2206721305847168,0.9833333492279053
81f6ac3f,ChebNet|chebnet:train-pubmed,2020-04-17 23:50:43,0:00:19,completed,baseline=0.78 data-seed=5687 net-seed=5152 verbose=0 yang-splits=yes,0.78,,5687,pubmed,0.5,200,30,16,0.0005,0.01,5152,4,10,0,True,1,1.0,49.0,0.2189343422651291,0.7369999885559082,0.7903569936752319,0.7419999837875366,0.7772842049598694,0.24158674478530884,1.0
86a9d32e,ChebNet|chebnet:train-pubmed,2020-04-17 23:50:11,0:00:30,completed,baseline=0.78 data-seed=5687 net-seed=819 verbose=0 yang-splits=yes,0.78,,5687,pubmed,0.5,200,30,16,0.0005,0.01,819,4,10,0,True,1,1.0,91.0,0.13612356781959534,0.7760000228881836,0.69752037525177,0.7760000228881836,0.671688973903656,0.18841969966888428,1.0
643b5c89,ChebNet|chebnet:train-pubmed,2020-04-17 23:49:36,0:00:32,completed,baseline=0.78 data-seed=5687 net-seed=7932 verbose=0 yang-splits=yes,0.78,,5687,pubmed,0.5,200,30,16,0.0005,0.01,7932,4,10,0,True,1,1.0,100.0,0.12967759370803833,0.7509999871253967,0.7140875458717346,0.75,0.6897316575050354,0.17075929045677185,0.9833333492279053
