run,operation,started,time,status,label,checkpoint-path,data-seed,dataset,dropout-rate,epochs,hidden-units,l2-weight,learning-rate,net-seed,num-polynomials,patience,verbose,yang-splits,step,bw_accuracy,bw_epoch,bw_loss,bw_test_accuracy,bw_test_loss,bw_val_accuracy,bw_val_loss,epoch_loss,epoch_masked_accuracy
d159cead,ChebNet|chebnet:train-pubmed,2020-04-14 20:35:57,0:01:15,completed,data-seed=5687 net-seed=6473 verbose=0 yang-splits=yes,,5687,pubmed,0.5,200,16,0.0005,0.01,6473,4,40,0,True,1,1.0,0.0,0.07828112691640854,0.7519999742507935,0.6970469951629639,0.7599999904632568,0.655447781085968,0.09879642724990845,1.0
f391ad08,ChebNet|chebnet:train-pubmed,2020-04-14 20:34:38,0:01:14,completed,data-seed=5687 net-seed=872 verbose=0 yang-splits=yes,,5687,pubmed,0.5,200,16,0.0005,0.01,872,4,40,0,True,1,1.0,0.0,0.08016443252563477,0.7720000147819519,0.6333335638046265,0.7860000133514404,0.612354040145874,0.10821995139122009,1.0
ac810e6b,ChebNet|chebnet:train-pubmed,2020-04-14 20:33:19,0:01:15,completed,data-seed=5687 net-seed=8964 verbose=0 yang-splits=yes,,5687,pubmed,0.5,200,16,0.0005,0.01,8964,4,40,0,True,1,1.0,0.0,0.07861877977848053,0.777999997138977,0.6468819975852966,0.7900000214576721,0.6106856465339661,0.09889987111091614,1.0
a733f4bb,ChebNet|chebnet:train-pubmed,2020-04-14 20:32:04,0:01:10,completed,data-seed=5687 net-seed=5688 verbose=0 yang-splits=yes,,5687,pubmed,0.5,200,16,0.0005,0.01,5688,4,40,0,True,1,1.0,192.0,0.09308214485645294,0.7649999856948853,0.6648603677749634,0.765999972820282,0.6323860883712769,0.10752582550048828,1.0
9781a87f,ChebNet|chebnet:train-pubmed,2020-04-14 20:30:45,0:01:15,completed,data-seed=5687 net-seed=6608 verbose=0 yang-splits=yes,,5687,pubmed,0.5,200,16,0.0005,0.01,6608,4,40,0,True,1,1.0,0.0,0.07717795670032501,0.777999997138977,0.6655083894729614,0.7879999876022339,0.6275374889373779,0.10498686134815216,1.0
3939e1d8,ChebNet|chebnet:train-pubmed,2020-04-14 20:29:28,0:01:13,completed,data-seed=5687 net-seed=9399 verbose=0 yang-splits=yes,,5687,pubmed,0.5,200,16,0.0005,0.01,9399,4,40,0,True,1,1.0,198.0,0.08750143647193909,0.7720000147819519,0.6451305150985718,0.7839999794960022,0.6146383881568909,0.1122078150510788,1.0
8607902a,ChebNet|chebnet:train-pubmed,2020-04-14 20:28:18,0:01:05,completed,data-seed=5687 net-seed=4975 verbose=0 yang-splits=yes,,5687,pubmed,0.5,200,16,0.0005,0.01,4975,4,40,0,True,1,1.0,159.0,0.1048460453748703,0.777999997138977,0.6468527317047119,0.7799999713897705,0.6154760718345642,0.12477348744869232,1.0
94f0fd31,ChebNet|chebnet:train-pubmed,2020-04-14 20:27:11,0:01:01,completed,data-seed=5687 net-seed=551 verbose=0 yang-splits=yes,,5687,pubmed,0.5,200,16,0.0005,0.01,551,4,40,0,True,1,1.0,144.0,0.11052625626325607,0.7749999761581421,0.6686902642250061,0.7940000295639038,0.6368597745895386,0.11702580749988556,1.0
7a355845,ChebNet|chebnet:train-pubmed,2020-04-14 20:25:56,0:01:12,completed,data-seed=5687 net-seed=1353 verbose=0 yang-splits=yes,,5687,pubmed,0.5,200,16,0.0005,0.01,1353,4,40,0,True,1,1.0,187.0,0.09258510172367096,0.7570000290870667,0.6659718751907349,0.7760000228881836,0.6178781390190125,0.09585744887590408,1.0
15976028,ChebNet|chebnet:train-pubmed,2020-04-14 20:24:31,0:01:20,completed,data-seed=5687 net-seed=9516 verbose=0 yang-splits=yes,,5687,pubmed,0.5,200,16,0.0005,0.01,9516,4,40,0,True,1,1.0,0.0,0.08317116647958755,0.7409999966621399,0.7182540893554688,0.7440000176429749,0.6700589060783386,0.14085546135902405,0.9833333492279053
d6943f96,ChebNet|chebnet:train-cora,2020-04-14 20:23:57,0:00:24,completed,data-seed=5687 net-seed=6473 verbose=0 yang-splits=yes,,5687,cora,0.5,200,16,0.0005,0.01,6473,3,40,0,True,1,1.0,0.0,0.17050275206565857,0.8230000138282776,0.7399424910545349,0.7979999780654907,0.8113135099411011,0.2304334044456482,0.9928571581840515
