run,operation,started,time,status,label,baseline,checkpoint-path,data-seed,dataset,dropout-rate,epochs,from-epoch,hidden-units,l2-weight,learning-rate,net-seed,num-polynomials,patience,verbose,yang-splits,step,bw_accuracy,bw_epoch,bw_loss,bw_test_accuracy,bw_test_loss,bw_val_accuracy,bw_val_loss,epoch_loss,epoch_masked_accuracy
9f88e178,ChebNet|chebnet:train-pubmed,2020-04-15 19:32:41,0:00:21,completed,baseline=0.78 data-seed=5687 net-seed=6473 verbose=0 yang-splits=yes,0.78,,5687,pubmed,0.5,200,30,16,0.0005,0.01,6473,4,10,0,True,1,1.0,47.0,0.18679572641849518,0.7459999918937683,0.7540946006774902,0.765999972820282,0.7267218232154846,0.23102107644081116,0.9833333492279053
53fbad3b,ChebNet|chebnet:train-pubmed,2020-04-15 19:32:11,0:00:27,completed,baseline=0.78 data-seed=5687 net-seed=872 verbose=0 yang-splits=yes,0.78,,5687,pubmed,0.5,200,30,16,0.0005,0.01,872,4,10,0,True,1,1.0,70.0,0.14318276941776276,0.7760000228881836,0.7016112804412842,0.7979999780654907,0.678747296333313,0.20232704281806946,0.9833333492279053
e317b881,ChebNet|chebnet:train-pubmed,2020-04-15 19:31:47,0:00:21,completed,baseline=0.78 data-seed=5687 net-seed=8964 verbose=0 yang-splits=yes,0.78,,5687,pubmed,0.5,200,30,16,0.0005,0.01,8964,4,10,0,True,1,1.0,47.0,0.19037967920303345,0.7419999837875366,0.7530034184455872,0.765999972820282,0.7220882773399353,0.2634260654449463,0.9833333492279053
86b1f5d7,ChebNet|chebnet:train-pubmed,2020-04-15 19:31:20,0:00:24,completed,baseline=0.78 data-seed=5687 net-seed=5688 verbose=0 yang-splits=yes,0.78,,5687,pubmed,0.5,200,30,16,0.0005,0.01,5688,4,10,0,True,1,1.0,56.0,0.1697045862674713,0.7390000224113464,0.7666733264923096,0.7620000243186951,0.736782431602478,0.19912849366664886,1.0
d5dda8f8,ChebNet|chebnet:train-pubmed,2020-04-15 19:30:52,0:00:24,completed,baseline=0.78 data-seed=5687 net-seed=6608 verbose=0 yang-splits=yes,0.78,,5687,pubmed,0.5,200,30,16,0.0005,0.01,6608,4,10,0,True,1,1.0,48.0,0.19697678089141846,0.7649999856948853,0.7330838441848755,0.7839999794960022,0.6960592269897461,0.21319998800754547,1.0
87ed1a34,ChebNet|chebnet:train-pubmed,2020-04-15 19:30:28,0:00:19,completed,baseline=0.78 data-seed=5687 net-seed=9399 verbose=0 yang-splits=yes,0.78,,5687,pubmed,0.5,200,30,16,0.0005,0.01,9399,4,10,0,True,1,0.9833333492279053,34.0,0.26288628578186035,0.7409999966621399,0.780823826789856,0.7580000162124634,0.7577764987945557,0.26728877425193787,1.0
f3a19cc7,ChebNet|chebnet:train-pubmed,2020-04-15 19:30:03,0:00:21,completed,baseline=0.78 data-seed=5687 net-seed=4975 verbose=0 yang-splits=yes,0.78,,5687,pubmed,0.5,200,30,16,0.0005,0.01,4975,4,10,0,True,1,1.0,40.0,0.2328605353832245,0.7649999856948853,0.7376198172569275,0.7839999794960022,0.705946147441864,0.26392853260040283,0.9333333373069763
40e23538,ChebNet|chebnet:train-pubmed,2020-04-15 19:29:40,0:00:18,completed,baseline=0.78 data-seed=5687 net-seed=551 verbose=0 yang-splits=yes,0.78,,5687,pubmed,0.5,200,30,16,0.0005,0.01,551,4,10,0,True,1,0.9833333492279053,34.0,0.3078393042087555,0.7409999966621399,0.7645173668861389,0.7580000162124634,0.7373364567756653,0.27736783027648926,1.0
2e3d0e67,ChebNet|chebnet:train-pubmed,2020-04-15 19:29:16,0:00:20,completed,baseline=0.78 data-seed=5687 net-seed=1353 verbose=0 yang-splits=yes,0.78,,5687,pubmed,0.5,200,30,16,0.0005,0.01,1353,4,10,0,True,1,1.0,38.0,0.24864999949932098,0.7279999852180481,0.7650237679481506,0.7459999918937683,0.7314851880073547,0.25845277309417725,0.9666666388511658
dcc4d190,ChebNet|chebnet:train-pubmed,2020-04-15 19:28:44,0:00:28,completed,baseline=0.78 data-seed=5687 net-seed=9516 verbose=0 yang-splits=yes,0.78,,5687,pubmed,0.5,200,30,16,0.0005,0.01,9516,4,10,0,True,1,1.0,63.0,0.15586945414543152,0.7239999771118164,0.7824186086654663,0.7360000014305115,0.7470968961715698,0.19898203015327454,0.9833333492279053
c8262e01,ChebNet|chebnet:train-cora,2020-04-15 19:28:26,0:00:10,completed,baseline=0.95 data-seed=5687 net-seed=6473 verbose=0 yang-splits=yes,0.95,,5687,cora,0.5,200,30,16,0.0005,0.01,6473,3,10,0,True,1,1.0,85.0,0.2856789231300354,0.8309999704360962,0.8900879621505737,0.7979999780654907,0.9463205337524414,0.4108118414878845,0.9857142567634583
aff59444,ChebNet|chebnet:train-cora,2020-04-15 19:28:10,0:00:12,completed,baseline=0.95 data-seed=5687 net-seed=872 verbose=0 yang-splits=yes,0.95,,5687,cora,0.5,200,30,16,0.0005,0.01,872,3,10,0,True,1,1.0,110.0,0.2516639232635498,0.8209999799728394,0.8590052127838135,0.800000011920929,0.9254847764968872,0.3411329984664917,0.9857142567634583
0f03284b,ChebNet|chebnet:train-cora,2020-04-15 19:27:57,0:00:09,completed,baseline=0.95 data-seed=5687 net-seed=8964 verbose=0 yang-splits=yes,0.95,,5687,cora,0.5,200,30,16,0.0005,0.01,8964,3,10,0,True,1,1.0,100.0,0.2574772238731384,0.8220000267028809,0.8436072468757629,0.7879999876022339,0.903935968875885,0.35501158237457275,0.9857142567634583
c5b454a8,ChebNet|chebnet:train-cora,2020-04-15 19:27:41,0:00:11,completed,baseline=0.95 data-seed=5687 net-seed=5688 verbose=0 yang-splits=yes,0.95,,5687,cora,0.5,200,30,16,0.0005,0.01,5688,3,10,0,True,1,1.0,111.0,0.24851080775260925,0.8130000233650208,0.8550201654434204,0.7799999713897705,0.9328833818435669,0.3671140968799591,0.9642857313156128
3f05f26e,ChebNet|chebnet:train-cora,2020-04-15 19:27:28,0:00:10,completed,baseline=0.95 data-seed=5687 net-seed=6608 verbose=0 yang-splits=yes,0.95,,5687,cora,0.5,200,30,16,0.0005,0.01,6608,3,10,0,True,1,1.0,79.0,0.29630807042121887,0.8199999928474426,0.8926644325256348,0.8040000200271606,0.9474835395812988,0.3986209034919739,0.9785714149475098
b211cf39,ChebNet|chebnet:train-cora,2020-04-15 19:27:14,0:00:10,completed,baseline=0.95 data-seed=5687 net-seed=9399 verbose=0 yang-splits=yes,0.95,,5687,cora,0.5,200,30,16,0.0005,0.01,9399,3,10,0,True,1,1.0,98.0,0.2610859274864197,0.8130000233650208,0.8941428065299988,0.7960000038146973,0.9434841871261597,0.35803908109664917,0.9928571581840515
7cf89202,ChebNet|chebnet:train-cora,2020-04-15 19:27:00,0:00:10,completed,baseline=0.95 data-seed=5687 net-seed=4975 verbose=0 yang-splits=yes,0.95,,5687,cora,0.5,200,30,16,0.0005,0.01,4975,3,10,0,True,1,1.0,106.0,0.2534048557281494,0.8349999785423279,0.83889240026474,0.7820000052452087,0.9010930061340332,0.3777140974998474,0.9785714149475098
189da87a,ChebNet|chebnet:train-cora,2020-04-15 19:26:47,0:00:10,completed,baseline=0.95 data-seed=5687 net-seed=551 verbose=0 yang-splits=yes,0.95,,5687,cora,0.5,200,30,16,0.0005,0.01,551,3,10,0,True,1,1.0,95.0,0.26741546392440796,0.8259999752044678,0.8714138269424438,0.800000011920929,0.9119357466697693,0.3340969681739807,0.9928571581840515
