run,operation,started,time,status,label,checkpoint-path,data-seed,dataset,dropout-rate,epochs,hidden-units,l2-weight,learning-rate,net-seed,num-polynomials,patience,verbose,yang-splits,step,bw_accuracy,bw_epoch,bw_loss,bw_test_accuracy,bw_test_loss,bw_val_accuracy,bw_val_loss,epoch_loss,epoch_masked_accuracy
f72debf7,ChebNet|chebnet:train-pubmed,2020-04-15 05:41:23,0:00:23,completed,data-seed=5687 net-seed=6083 verbose=0 yang-splits=yes,,5687,pubmed,0.5,200,16,0.0005,0.01,6083,4,10,0,True,1,1.0,41.0,0.20268508791923523,0.7319999933242798,0.775162935256958,0.7279999852180481,0.7493066787719727,0.23588256537914276,1.0
193adfca,ChebNet|chebnet:train-pubmed,2020-04-15 05:40:59,0:00:20,completed,data-seed=5687 net-seed=5556 verbose=0 yang-splits=yes,,5687,pubmed,0.5,200,16,0.0005,0.01,5556,4,10,0,True,1,1.0,35.0,0.2503660023212433,0.7480000257492065,0.7585606575012207,0.7540000081062317,0.7293053269386292,0.2892991602420807,0.9666666388511658
1c6af133,ChebNet|chebnet:train-pubmed,2020-04-15 05:40:39,0:00:18,completed,data-seed=5687 net-seed=649 verbose=0 yang-splits=yes,,5687,pubmed,0.5,200,16,0.0005,0.01,649,4,10,0,True,1,0.9833333492279053,32.0,0.28079861402511597,0.7360000014305115,0.7831525206565857,0.7540000081062317,0.7642435431480408,0.33607736229896545,0.9333333373069763
61b1103c,ChebNet|chebnet:train-pubmed,2020-04-15 05:40:01,0:00:34,completed,data-seed=5687 net-seed=2042 verbose=0 yang-splits=yes,,5687,pubmed,0.5,200,16,0.0005,0.01,2042,4,10,0,True,1,1.0,82.0,0.1311141848564148,0.7760000228881836,0.6825013756752014,0.7919999957084656,0.6497842669487,0.1766108274459839,0.9833333492279053
a740d5cf,ChebNet|chebnet:train-pubmed,2020-04-15 05:39:36,0:00:22,completed,data-seed=5687 net-seed=1598 verbose=0 yang-splits=yes,,5687,pubmed,0.5,200,16,0.0005,0.01,1598,4,10,0,True,1,1.0,45.0,0.1932571679353714,0.7670000195503235,0.7416635751724243,0.7860000133514404,0.724388599395752,0.25837165117263794,0.9833333492279053
214b0aeb,ChebNet|chebnet:train-pubmed,2020-04-15 05:39:11,0:00:22,completed,data-seed=5687 net-seed=8591 verbose=0 yang-splits=yes,,5687,pubmed,0.5,200,16,0.0005,0.01,8591,4,10,0,True,1,1.0,42.0,0.22021275758743286,0.7540000081062317,0.7521240711212158,0.7580000162124634,0.7178183794021606,0.24954643845558167,0.9833333492279053
c143521f,ChebNet|chebnet:train-pubmed,2020-04-15 05:38:42,0:00:25,completed,data-seed=5687 net-seed=6991 verbose=0 yang-splits=yes,,5687,pubmed,0.5,200,16,0.0005,0.01,6991,4,10,0,True,1,1.0,56.0,0.16187745332717896,0.722000002861023,0.7823230624198914,0.75,0.747748076915741,0.19247806072235107,0.9833333492279053
8803bade,ChebNet|chebnet:train-pubmed,2020-04-15 05:38:16,0:00:23,completed,data-seed=5687 net-seed=5152 verbose=0 yang-splits=yes,,5687,pubmed,0.5,200,16,0.0005,0.01,5152,4,10,0,True,1,1.0,45.0,0.20355981588363647,0.7540000081062317,0.7627432346343994,0.7480000257492065,0.7504638433456421,0.29205143451690674,0.9666666388511658
d2d31347,ChebNet|chebnet:train-pubmed,2020-04-15 05:37:49,0:00:22,completed,data-seed=5687 net-seed=819 verbose=0 yang-splits=yes,,5687,pubmed,0.5,200,16,0.0005,0.01,819,4,10,0,True,1,1.0,49.0,0.18430545926094055,0.7590000033378601,0.7375011444091797,0.7739999890327454,0.7118884325027466,0.22613409161567688,1.0
c077f3c0,ChebNet|chebnet:train-pubmed,2020-04-15 05:37:26,0:00:21,completed,data-seed=5687 net-seed=7932 verbose=0 yang-splits=yes,,5687,pubmed,0.5,200,16,0.0005,0.01,7932,4,10,0,True,1,1.0,41.0,0.21126815676689148,0.7239999771118164,0.7947022914886475,0.722000002861023,0.7808479070663452,0.25103646516799927,1.0
