run,operation,started,time,status,label,baseline,checkpoint-path,data-seed,dataset,dropout-rate,epochs,from-epoch,hidden-units,l2-weight,learning-rate,net-seed,patience,verbose,yang-splits,step,bw_accuracy,bw_epoch,bw_loss,bw_test_accuracy,bw_test_loss,bw_val_accuracy,bw_val_loss,epoch_loss,epoch_masked_accuracy
b45f379c,GCN|gcn:train,2020-04-17 23:32:14,0:00:20,completed,data-seed=5687 dataset=pubmed net-seed=6083 verbose=0 yang-splits=yes,1.5,,5687,pubmed,0.5,200,30,16,0.0005,0.01,6083,10,0,True,1,0.9833333492279053,0.0,0.41436415910720825,0.7799999713897705,0.8032014966011047,0.7860000133514404,0.7800913453102112,0.4671691358089447,0.9666666388511658
ee63fe92,GCN|gcn:train,2020-04-17 23:31:51,0:00:20,completed,data-seed=5687 dataset=pubmed net-seed=5556 verbose=0 yang-splits=yes,1.5,,5687,pubmed,0.5,200,30,16,0.0005,0.01,5556,10,0,True,1,0.9833333492279053,0.0,0.3987328112125397,0.7900000214576721,0.7897323966026306,0.7860000133514404,0.765620231628418,0.46757131814956665,0.949999988079071
d6042ecb,GCN|gcn:train,2020-04-17 23:31:29,0:00:19,completed,data-seed=5687 dataset=pubmed net-seed=649 verbose=0 yang-splits=yes,1.5,,5687,pubmed,0.5,200,30,16,0.0005,0.01,649,10,0,True,1,0.9666666388511658,183.0,0.4502521753311157,0.7870000004768372,0.8103086352348328,0.7820000052452087,0.7874728441238403,0.5221867561340332,0.949999988079071
5ed334d8,GCN|gcn:train,2020-04-17 23:31:08,0:00:18,completed,data-seed=5687 dataset=pubmed net-seed=2042 verbose=0 yang-splits=yes,1.5,,5687,pubmed,0.5,200,30,16,0.0005,0.01,2042,10,0,True,1,0.9833333492279053,161.0,0.4680730104446411,0.7829999923706055,0.8095579147338867,0.7739999890327454,0.7871751189231873,0.49623990058898926,0.9666666388511658
9f6c8d04,GCN|gcn:train,2020-04-17 23:30:46,0:00:19,completed,data-seed=5687 dataset=pubmed net-seed=1598 verbose=0 yang-splits=yes,1.5,,5687,pubmed,0.5,200,30,16,0.0005,0.01,1598,10,0,True,1,0.9833333492279053,181.0,0.45264825224876404,0.7730000019073486,0.8399629592895508,0.7699999809265137,0.8155848979949951,0.5322285294532776,0.949999988079071
14996a58,GCN|gcn:train,2020-04-17 23:30:22,0:00:21,completed,data-seed=5687 dataset=pubmed net-seed=8591 verbose=0 yang-splits=yes,1.5,,5687,pubmed,0.5,200,30,16,0.0005,0.01,8591,10,0,True,1,0.9833333492279053,0.0,0.42228949069976807,0.7839999794960022,0.8005414009094238,0.7820000052452087,0.7766903638839722,0.45631444454193115,1.0
01941ea4,GCN|gcn:train,2020-04-17 23:30:00,0:00:19,completed,data-seed=5687 dataset=pubmed net-seed=6991 verbose=0 yang-splits=yes,1.5,,5687,pubmed,0.5,200,30,16,0.0005,0.01,6991,10,0,True,1,0.9833333492279053,176.0,0.42850691080093384,0.7839999794960022,0.7979090213775635,0.7900000214576721,0.7753085494041443,0.48191505670547485,0.9666666388511658
7f9793ec,GCN|gcn:train,2020-04-17 23:29:37,0:00:21,completed,data-seed=5687 dataset=pubmed net-seed=5152 verbose=0 yang-splits=yes,1.5,,5687,pubmed,0.5,200,30,16,0.0005,0.01,5152,10,0,True,1,0.9833333492279053,197.0,0.41947120428085327,0.7879999876022339,0.8090079426765442,0.7820000052452087,0.7825377583503723,0.45160096883773804,0.9666666388511658
4f1bdf5b,GCN|gcn:train,2020-04-17 23:29:15,0:00:19,completed,data-seed=5687 dataset=pubmed net-seed=819 verbose=0 yang-splits=yes,1.5,,5687,pubmed,0.5,200,30,16,0.0005,0.01,819,10,0,True,1,0.9666666388511658,176.0,0.4272972643375397,0.7850000262260437,0.8107258081436157,0.7900000214576721,0.785698652267456,0.46025732159614563,0.949999988079071
4f242afa,GCN|gcn:train,2020-04-17 23:28:56,0:00:17,completed,data-seed=5687 dataset=pubmed net-seed=7932 verbose=0 yang-splits=yes,1.5,,5687,pubmed,0.5,200,30,16,0.0005,0.01,7932,10,0,True,1,0.9666666388511658,144.0,0.48218968510627747,0.7850000262260437,0.8264251947402954,0.7799999713897705,0.8036433458328247,0.5140119194984436,0.9833333492279053
