run,operation,started,time,status,label,checkpoint-path,coefs-drop-rate,data-seed,dataset,epochs,feat-drop-rate,hidden-units,l2-weight,learning-rate,net-seed,nheads,patience,verbose,yang-splits,step,bw_accuracy,bw_epoch,bw_loss,bw_test_accuracy,bw_test_loss,bw_val_accuracy,bw_val_loss,epoch_loss,epoch_masked_accuracy
1276a5e8,GAT|gat:train-pubmed,2020-04-15 09:04:11,0:01:41,completed,data-seed=5687 epochs=1000 net-seed=6083 verbose=0 yang-splits=yes,,0.4,5687,pubmed,1000,0.4,8,0.001,0.01,6083,"8,8",100,0,True,1,0.9666666388511658,251.0,0.6068064570426941,0.7789999842643738,0.9479801654815674,0.8100000023841858,0.9426363706588745,0.6614845991134644,0.9666666388511658
7d91b4e1,GAT|gat:train-pubmed,2020-04-15 09:02:23,0:01:46,completed,data-seed=5687 epochs=1000 net-seed=5556 verbose=0 yang-splits=yes,,0.4,5687,pubmed,1000,0.4,8,0.001,0.01,5556,"8,8",100,0,True,1,0.9666666388511658,259.0,0.6111185550689697,0.777999997138977,0.9463774561882019,0.8140000104904175,0.9398343563079834,0.6928092837333679,0.9666666388511658
1a923114,GAT|gat:train-pubmed,2020-04-15 09:00:04,0:02:16,completed,data-seed=5687 epochs=1000 net-seed=649 verbose=0 yang-splits=yes,,0.4,5687,pubmed,1000,0.4,8,0.001,0.01,649,"8,8",100,0,True,1,0.9666666388511658,338.0,0.6065043210983276,0.781000018119812,0.9564971923828125,0.8100000023841858,0.949744462966919,0.613304615020752,0.9833333492279053
4f010d98,GAT|gat:train-pubmed,2020-04-15 08:58:55,0:01:07,completed,data-seed=5687 epochs=1000 net-seed=2042 verbose=0 yang-splits=yes,,0.4,5687,pubmed,1000,0.4,8,0.001,0.01,2042,"8,8",100,0,True,1,0.9666666388511658,153.0,0.6485084295272827,0.7670000195503235,0.9498202800750732,0.8119999766349792,0.9382832050323486,0.6508336663246155,0.9333333373069763
c91550bb,GAT|gat:train-pubmed,2020-04-15 08:57:15,0:01:37,completed,data-seed=5687 epochs=1000 net-seed=1598 verbose=0 yang-splits=yes,,0.4,5687,pubmed,1000,0.4,8,0.001,0.01,1598,"8,8",100,0,True,1,0.9666666388511658,233.0,0.6080101728439331,0.7770000100135803,0.9526962041854858,0.8119999766349792,0.9468027353286743,0.604778528213501,0.9833333492279053
fa652278,GAT|gat:train-pubmed,2020-04-15 08:55:48,0:01:24,completed,data-seed=5687 epochs=1000 net-seed=8591 verbose=0 yang-splits=yes,,0.4,5687,pubmed,1000,0.4,8,0.001,0.01,8591,"8,8",100,0,True,1,0.9666666388511658,198.0,0.6107470989227295,0.777999997138977,0.9542368054389954,0.8080000281333923,0.9450975656509399,0.6722174882888794,0.9333333373069763
54373297,GAT|gat:train-pubmed,2020-04-15 08:54:12,0:01:34,completed,data-seed=5687 epochs=1000 net-seed=6991 verbose=0 yang-splits=yes,,0.4,5687,pubmed,1000,0.4,8,0.001,0.01,6991,"8,8",100,0,True,1,0.9666666388511658,225.0,0.6097827553749084,0.7770000100135803,0.9601646661758423,0.8100000023841858,0.9551213979721069,0.6874570250511169,0.9166666865348816
2fe9b89a,GAT|gat:train-pubmed,2020-04-15 08:53:01,0:01:08,completed,data-seed=5687 epochs=1000 net-seed=5152 verbose=0 yang-splits=yes,,0.4,5687,pubmed,1000,0.4,8,0.001,0.01,5152,"8,8",100,0,True,1,0.9666666388511658,156.0,0.6383451223373413,0.765999972820282,0.9485899209976196,0.8140000104904175,0.9366503953933716,0.6667592525482178,0.949999988079071
2dfecd13,GAT|gat:train-pubmed,2020-04-15 08:51:47,0:01:12,completed,data-seed=5687 epochs=1000 net-seed=819 verbose=0 yang-splits=yes,,0.4,5687,pubmed,1000,0.4,8,0.001,0.01,819,"8,8",100,0,True,1,0.9833333492279053,162.0,0.6337993144989014,0.7820000052452087,0.9486904144287109,0.8119999766349792,0.9327880144119263,0.674985408782959,0.9333333373069763
64f23801,GAT|gat:train-pubmed,2020-04-15 08:50:36,0:01:09,completed,data-seed=5687 epochs=1000 net-seed=7932 verbose=0 yang-splits=yes,,0.4,5687,pubmed,1000,0.4,8,0.001,0.01,7932,"8,8",100,0,True,1,0.9666666388511658,159.0,0.6320767402648926,0.7820000052452087,0.945853590965271,0.8140000104904175,0.9321228265762329,0.6414914727210999,0.9833333492279053
2c42b5aa,GAT|gat:train-pubmed,2020-04-15 08:49:25,0:01:09,completed,data-seed=5687 epochs=1000 net-seed=3082 verbose=0 yang-splits=yes,,0.4,5687,pubmed,1000,0.4,8,0.001,0.01,3082,"8,8",100,0,True,1,0.9666666388511658,157.0,0.6403108835220337,0.7749999761581421,0.9479614496231079,0.8100000023841858,0.9362852573394775,0.6603051424026489,0.949999988079071
e2535c8f,GAT|gat:train-pubmed,2020-04-15 08:48:14,0:01:08,completed,data-seed=5687 epochs=1000 net-seed=1868 verbose=0 yang-splits=yes,,0.4,5687,pubmed,1000,0.4,8,0.001,0.01,1868,"8,8",100,0,True,1,0.949999988079071,157.0,0.6376389861106873,0.7720000147819519,0.9606778621673584,0.8100000023841858,0.9481633901596069,0.6314968466758728,0.9666666388511658
3422683e,GAT|gat:train-pubmed,2020-04-15 08:46:59,0:01:12,completed,data-seed=5687 epochs=1000 net-seed=5012 verbose=0 yang-splits=yes,,0.4,5687,pubmed,1000,0.4,8,0.001,0.01,5012,"8,8",100,0,True,1,0.9666666388511658,166.0,0.6212542057037354,0.7799999713897705,0.9552367925643921,0.8159999847412109,0.9450219869613647,0.6151766777038574,0.9666666388511658
cc24317f,GAT|gat:train-pubmed,2020-04-15 08:45:47,0:01:09,completed,data-seed=5687 epochs=1000 net-seed=2140 verbose=0 yang-splits=yes,,0.4,5687,pubmed,1000,0.4,8,0.001,0.01,2140,"8,8",100,0,True,1,0.9666666388511658,158.0,0.6344162225723267,0.7739999890327454,0.9467772841453552,0.8119999766349792,0.9343708157539368,0.6504750847816467,0.9833333492279053
493ed523,GAT|gat:train-pubmed,2020-04-15 08:44:34,0:01:11,completed,data-seed=5687 epochs=1000 net-seed=9841 verbose=0 yang-splits=yes,,0.4,5687,pubmed,1000,0.4,8,0.001,0.01,9841,"8,8",100,0,True,1,0.9666666388511658,163.0,0.6278032064437866,0.7749999761581421,0.956725001335144,0.8080000281333923,0.9448397159576416,0.6370270252227783,0.9333333373069763
