run,operation,started,time,status,label,baseline,checkpoint-path,data-seed,dataset,dropout-rate,epochs,from-epoch,hidden-units,l2-weight,learning-rate,net-seed,patience,verbose,yang-splits,step,bw_accuracy,bw_epoch,bw_loss,bw_test_accuracy,bw_test_loss,bw_val_accuracy,bw_val_loss,epoch_loss,epoch_masked_accuracy
aee55234,GCN|gcn:train,2020-04-15 19:31:03,0:00:20,completed,data-seed=5687 dataset=pubmed net-seed=6473 verbose=0 yang-splits=yes,1.5,,5687,pubmed,0.5,200,30,16,0.0005,0.01,6473,10,0,True,1,1.0,159.0,0.3909499943256378,0.7910000085830688,0.7779813408851624,0.7979999780654907,0.7621586918830872,0.4414471983909607,0.9833333492279053
32496ec1,GCN|gcn:train,2020-04-15 19:30:36,0:00:23,completed,data-seed=5687 dataset=pubmed net-seed=872 verbose=0 yang-splits=yes,1.5,,5687,pubmed,0.5,200,30,16,0.0005,0.01,872,10,0,True,1,1.0,0.0,0.3499809503555298,0.7910000085830688,0.7598626613616943,0.800000011920929,0.740297257900238,0.3991217017173767,0.9833333492279053
131b1d52,GCN|gcn:train,2020-04-15 19:30:11,0:00:21,completed,data-seed=5687 dataset=pubmed net-seed=8964 verbose=0 yang-splits=yes,1.5,,5687,pubmed,0.5,200,30,16,0.0005,0.01,8964,10,0,True,1,1.0,175.0,0.3862074911594391,0.7919999957084656,0.776758074760437,0.7960000038146973,0.7573015093803406,0.45414793491363525,0.9833333492279053
fcf7d6fe,GCN|gcn:train,2020-04-15 19:29:45,0:00:23,completed,data-seed=5687 dataset=pubmed net-seed=5688 verbose=0 yang-splits=yes,1.5,,5687,pubmed,0.5,200,30,16,0.0005,0.01,5688,10,0,True,1,1.0,192.0,0.3601188659667969,0.7940000295639038,0.758340060710907,0.8080000281333923,0.7406035661697388,0.3945896327495575,0.9666666388511658
ac4b995f,GCN|gcn:train,2020-04-15 19:29:18,0:00:23,completed,data-seed=5687 dataset=pubmed net-seed=6608 verbose=0 yang-splits=yes,1.5,,5687,pubmed,0.5,200,30,16,0.0005,0.01,6608,10,0,True,1,1.0,198.0,0.3515569567680359,0.7919999957084656,0.7631096243858337,0.7940000295639038,0.7440571188926697,0.3978566825389862,0.9833333492279053
711756b8,GCN|gcn:train,2020-04-15 19:28:50,0:00:24,completed,data-seed=5687 dataset=pubmed net-seed=9399 verbose=0 yang-splits=yes,1.5,,5687,pubmed,0.5,200,30,16,0.0005,0.01,9399,10,0,True,1,1.0,0.0,0.3475848138332367,0.7990000247955322,0.75216144323349,0.8019999861717224,0.7308722734451294,0.4056968092918396,0.9666666388511658
8bab28d8,GCN|gcn:train,2020-04-15 19:28:25,0:00:22,completed,data-seed=5687 dataset=pubmed net-seed=4975 verbose=0 yang-splits=yes,1.5,,5687,pubmed,0.5,200,30,16,0.0005,0.01,4975,10,0,True,1,1.0,0.0,0.3411216735839844,0.7960000038146973,0.762761652469635,0.7940000295639038,0.7418930530548096,0.3557877838611603,0.9666666388511658
3f4d4352,GCN|gcn:train,2020-04-15 19:28:01,0:00:20,completed,data-seed=5687 dataset=pubmed net-seed=551 verbose=0 yang-splits=yes,1.5,,5687,pubmed,0.5,200,30,16,0.0005,0.01,551,10,0,True,1,1.0,173.0,0.392907977104187,0.7879999876022339,0.7904446125030518,0.7960000038146973,0.7720208764076233,0.4360310435295105,0.9666666388511658
4b2ab8db,GCN|gcn:train,2020-04-15 19:27:40,0:00:18,completed,data-seed=5687 dataset=pubmed net-seed=1353 verbose=0 yang-splits=yes,1.5,,5687,pubmed,0.5,200,30,16,0.0005,0.01,1353,10,0,True,1,1.0,148.0,0.4168538451194763,0.7860000133514404,0.7906335592269897,0.7940000295639038,0.7717458605766296,0.44305360317230225,0.9666666388511658
2a945f5f,GCN|gcn:train,2020-04-15 19:27:14,0:00:22,completed,data-seed=5687 dataset=pubmed net-seed=9516 verbose=0 yang-splits=yes,1.5,,5687,pubmed,0.5,200,30,16,0.0005,0.01,9516,10,0,True,1,1.0,0.0,0.34351423382759094,0.7879999876022339,0.7625274658203125,0.7979999780654907,0.743956983089447,0.40149810910224915,0.9666666388511658
1edbf809,GCN|gcn:train,2020-04-15 19:27:00,0:00:11,completed,data-seed=5687 net-seed=6473 verbose=0 yang-splits=yes,1.5,,5687,cora,0.5,200,30,16,0.0005,0.01,6473,10,0,True,1,0.9857142567634583,0.0,0.6753160953521729,0.8159999847412109,1.1703884601593018,0.7839999794960022,1.2111304998397827,0.8032233715057373,0.9428571462631226
3d83d3d5,GCN|gcn:train,2020-04-15 19:26:45,0:00:11,completed,data-seed=5687 net-seed=872 verbose=0 yang-splits=yes,1.5,,5687,cora,0.5,200,30,16,0.0005,0.01,872,10,0,True,1,0.9857142567634583,0.0,0.6596533060073853,0.8169999718666077,1.1692348718643188,0.7879999876022339,1.2161647081375122,0.7617155313491821,0.949999988079071
01524ff2,GCN|gcn:train,2020-04-15 19:26:30,0:00:11,completed,data-seed=5687 net-seed=8964 verbose=0 yang-splits=yes,1.5,,5687,cora,0.5,200,30,16,0.0005,0.01,8964,10,0,True,1,0.9857142567634583,0.0,0.6743649244308472,0.8119999766349792,1.163361668586731,0.7979999780654907,1.1946443319320679,0.7611029148101807,0.9714285731315613
d1264968,GCN|gcn:train,2020-04-15 19:26:16,0:00:11,completed,data-seed=5687 net-seed=5688 verbose=0 yang-splits=yes,1.5,,5687,cora,0.5,200,30,16,0.0005,0.01,5688,10,0,True,1,0.9857142567634583,0.0,0.6686232089996338,0.8130000233650208,1.1823887825012207,0.7879999876022339,1.2248576879501343,0.8035130500793457,0.9357143044471741
44723f20,GCN|gcn:train,2020-04-15 19:25:59,0:00:14,completed,data-seed=5687 net-seed=6608 verbose=0 yang-splits=yes,1.5,,5687,cora,0.5,200,30,16,0.0005,0.01,6608,10,0,True,1,0.9857142567634583,0.0,0.648226797580719,0.8230000138282776,1.1480005979537964,0.8080000281333923,1.182166576385498,0.8280684947967529,0.9285714030265808
