run,operation,started,time,status,label,checkpoint-path,data-seed,dataset,embedding-dim,epochs,learning-rate-supervised,learning-rate-unsupervised,modality,neg-sample-rate,net-seed,patience,pretrain-batch,random-walk-length,sample-context-rate,supervised-batch,supervised-batch-size,unsupervised-batch,unsupervised-batch-size,verbose,window-size,yang-splits,step,bw_accuracy,bw_epoch,bw_loss,bw_test_accuracy,bw_test_loss,bw_val_accuracy,bw_val_loss,loss,masked_accuracy,val_loss,val_masked_accuracy
b74e5ecf,Planetoid-i|planetoid-i:train,2020-04-16 18:04:53,0:00:26,completed,data-seed=5687 dataset=pubmed epochs=1000 net-seed=6473 verbose=0,,5687,pubmed,50,1000,0.1,0.001,I,0,6473,-1,10,10,0.038,1.0,200,0.1,20,0,3,True,1000,1.0,428.0,2.4177193641662598,0.7329999804496765,1.0541391372680664,0.7319999933242798,1.0516409873962402,0.9328538179397583,1.0,0.8545762896537781,0.722000002861023
233cfffe,Planetoid-i|planetoid-i:train,2020-04-16 18:04:26,0:00:24,completed,data-seed=5687 dataset=pubmed epochs=1000 net-seed=872 verbose=0,,5687,pubmed,50,1000,0.1,0.001,I,0,872,-1,10,10,0.038,1.0,200,0.1,20,0,3,True,1000,1.0,899.0,0.9903674721717834,0.7379999756813049,0.865866482257843,0.7440000176429749,0.8682469129562378,0.9326614737510681,1.0,0.8581774234771729,0.7360000014305115
c5a68e78,Planetoid-i|planetoid-i:train,2020-04-16 18:03:58,0:00:26,completed,data-seed=5687 dataset=pubmed epochs=1000 net-seed=8964 verbose=0,,5687,pubmed,50,1000,0.1,0.001,I,0,8964,-1,10,10,0.038,1.0,200,0.1,20,0,3,True,1000,1.0,622.0,1.250213623046875,0.7360000014305115,0.8967850208282471,0.7300000190734863,0.8968520760536194,0.9594113826751709,1.0,0.8525975346565247,0.7120000123977661
1b6e0b74,Planetoid-i|planetoid-i:train,2020-04-16 18:03:31,0:00:24,completed,data-seed=5687 dataset=pubmed epochs=1000 net-seed=5688 verbose=0,,5687,pubmed,50,1000,0.1,0.001,I,0,5688,-1,10,10,0.038,1.0,200,0.1,20,0,3,True,1000,1.0,861.0,1.0442529916763306,0.7419999837875366,0.8714497089385986,0.734000027179718,0.8714321255683899,0.9388784170150757,1.0,0.8547864556312561,0.722000002861023
f66d7275,Planetoid-i|planetoid-i:train,2020-04-16 18:03:02,0:00:26,completed,data-seed=5687 dataset=pubmed epochs=1000 net-seed=6608 verbose=0,,5687,pubmed,50,1000,0.1,0.001,I,0,6608,-1,10,10,0.038,1.0,200,0.1,20,0,3,True,1000,1.0,656.0,1.2102375030517578,0.7379999756813049,0.894737184047699,0.7459999918937683,0.8975091576576233,0.9435887336730957,1.0,0.852543294429779,0.722000002861023
b8f55105,Planetoid-i|planetoid-i:train,2020-04-16 18:02:35,0:00:24,completed,data-seed=5687 dataset=pubmed epochs=1000 net-seed=9399 verbose=0,,5687,pubmed,50,1000,0.1,0.001,I,0,9399,-1,10,10,0.038,1.0,200,0.1,20,0,3,True,1000,1.0,916.0,0.9781727194786072,0.7409999966621399,0.8571706414222717,0.7360000014305115,0.8588132262229919,0.9303678870201111,1.0,0.8513203263282776,0.7360000014305115
3f0bb62d,Planetoid-i|planetoid-i:train,2020-04-16 18:02:06,0:00:26,completed,data-seed=5687 dataset=pubmed epochs=1000 net-seed=4975 verbose=0,,5687,pubmed,50,1000,0.1,0.001,I,0,4975,-1,10,10,0.038,1.0,200,0.1,20,0,3,True,1000,1.0,661.0,1.2432315349578857,0.7289999723434448,0.9227210283279419,0.7300000190734863,0.925647497177124,0.9255468845367432,1.0,0.8628270626068115,0.7120000123977661
4c2a1b42,Planetoid-i|planetoid-i:train,2020-04-16 18:01:40,0:00:23,completed,data-seed=5687 dataset=pubmed epochs=1000 net-seed=551 verbose=0,,5687,pubmed,50,1000,0.1,0.001,I,0,551,-1,10,10,0.038,1.0,200,0.1,20,0,3,True,1000,1.0,945.0,0.9794080257415771,0.7450000047683716,0.8514615297317505,0.734000027179718,0.8542123436927795,0.9491077661514282,1.0,0.8499294519424438,0.7279999852180481
6f299654,Planetoid-i|planetoid-i:train,2020-04-16 18:01:08,0:00:30,completed,data-seed=5687 dataset=pubmed epochs=1000 net-seed=1353 verbose=0,,5687,pubmed,50,1000,0.1,0.001,I,0,1353,-1,10,10,0.038,1.0,200,0.1,20,0,3,True,1000,1.0,706.0,1.1477127075195312,0.7419999837875366,0.8914164900779724,0.7260000109672546,0.8948438167572021,0.9231647253036499,1.0,0.8553208112716675,0.7239999771118164
19f2447d,Planetoid-i|planetoid-i:train,2020-04-16 18:00:41,0:00:24,completed,data-seed=5687 dataset=pubmed epochs=1000 net-seed=9516 verbose=0,,5687,pubmed,50,1000,0.1,0.001,I,0,9516,-1,10,10,0.038,1.0,200,0.1,20,0,3,True,1000,1.0,997.0,0.9474416971206665,0.7360000014305115,0.8588431477546692,0.7239999771118164,0.8657707571983337,0.945510983467102,1.0,0.8654213547706604,0.7239999771118164
ff09e237,Planetoid-i|planetoid-i:train,2020-04-16 18:00:11,0:00:27,completed,data-seed=5687 epochs=1000 net-seed=6473 verbose=0,,5687,cora,50,1000,0.1,0.001,I,0,6473,-1,10,10,0.038,1.0,200,0.1,20,0,3,True,1000,1.0,200.0,1.3888235092163086,0.5879999995231628,1.8624505996704102,0.5440000295639038,1.8651528358459473,0.12781792879104614,1.0,1.6631762981414795,0.5379999876022339
212ef307,Planetoid-i|planetoid-i:train,2020-04-16 17:59:42,0:00:26,completed,data-seed=5687 epochs=1000 net-seed=872 verbose=0,,5687,cora,50,1000,0.1,0.001,I,0,872,-1,10,10,0.038,1.0,200,0.1,20,0,3,True,1000,1.0,210.0,1.2722855806350708,0.5609999895095825,1.8563393354415894,0.5460000038146973,1.8587900400161743,0.13073955476284027,1.0,1.6643928289413452,0.5299999713897705
4a6e0af7,Planetoid-i|planetoid-i:train,2020-04-16 17:59:12,0:00:27,completed,data-seed=5687 epochs=1000 net-seed=8964 verbose=0,,5687,cora,50,1000,0.1,0.001,I,0,8964,-1,10,10,0.038,1.0,200,0.1,20,0,3,True,1000,1.0,319.0,0.6749287247657776,0.5889999866485596,1.7817842960357666,0.5419999957084656,1.783133864402771,0.13180142641067505,1.0,1.66422700881958,0.5360000133514404
