run,operation,started,time,status,label,checkpoint-path,data-seed,dataset,embedding-dim,epochs,learning-rate-supervised,learning-rate-unsupervised,modality,neg-sample-rate,net-seed,patience,pretrain-batch,random-walk-length,sample-context-rate,supervised-batch,supervised-batch-size,unsupervised-batch,unsupervised-batch-size,verbose,window-size,yang-splits,step,bw_accuracy,bw_epoch,bw_loss,bw_test_accuracy,bw_test_loss,bw_val_accuracy,bw_val_loss,loss,masked_accuracy,val_loss,val_masked_accuracy
a4b1c418,Planetoid-t|planetoid-t:train,2020-04-17 04:02:58,0:00:50,completed,data-seed=5687 dataset=pubmed epochs=1000 net-seed=6083 verbose=0,,5687,pubmed,50,1000,0.1,0.01,T,0,6083,-1,2070,10,0.033,1.0,200,0,200,0,3,True,1000,0.3333333432674408,28.0,2.3745133876800537,0.4090000092983246,1.09945547580719,0.38999998569488525,1.1001819372177124,0.8595042824745178,1.0,1.0999884605407715,0.27399998903274536
6402cbe7,Planetoid-t|planetoid-t:train,2020-04-17 04:02:04,0:00:51,completed,data-seed=5687 dataset=pubmed epochs=1000 net-seed=5556 verbose=0,,5687,pubmed,50,1000,0.1,0.01,T,0,5556,-1,2070,10,0.033,1.0,200,0,200,0,3,True,1000,1.0,157.0,1.243410348892212,0.41600000858306885,1.0928901433944702,0.4000000059604645,1.0935513973236084,0.8728373646736145,1.0,1.0880043506622314,0.38999998569488525
6ead9ce1,Planetoid-t|planetoid-t:train,2020-04-17 04:01:11,0:00:50,completed,data-seed=5687 dataset=pubmed epochs=1000 net-seed=649 verbose=0,,5687,pubmed,50,1000,0.1,0.01,T,0,649,-1,2070,10,0.033,1.0,200,0,200,0,3,True,1000,1.0,120.0,1.3340966701507568,0.4189999997615814,1.0952610969543457,0.39800000190734863,1.0971319675445557,0.8740484118461609,1.0,1.0978782176971436,0.33399999141693115
b0edfefa,Planetoid-t|planetoid-t:train,2020-04-17 04:00:19,0:00:50,completed,data-seed=5687 dataset=pubmed epochs=1000 net-seed=2042 verbose=0,,5687,pubmed,50,1000,0.1,0.01,T,0,2042,-1,2070,10,0.033,1.0,200,0,200,0,3,True,1000,1.0,44.0,1.7453595399856567,0.4169999957084656,1.0945618152618408,0.40400001406669617,1.0951826572418213,0.8734422326087952,1.0,1.0977708101272583,0.3400000035762787
6df90742,Planetoid-t|planetoid-t:train,2020-04-17 03:59:26,0:00:50,completed,data-seed=5687 dataset=pubmed epochs=1000 net-seed=1598 verbose=0,,5687,pubmed,50,1000,0.1,0.01,T,0,1598,-1,2070,10,0.033,1.0,200,0,200,0,3,True,1000,1.0,915.0,0.8762620091438293,0.43799999356269836,1.0872290134429932,0.4440000057220459,1.0861473083496094,0.8561660051345825,1.0,1.0849730968475342,0.4440000057220459
b72f8a35,Planetoid-t|planetoid-t:train,2020-04-17 03:58:33,0:00:50,completed,data-seed=5687 dataset=pubmed epochs=1000 net-seed=8591 verbose=0,,5687,pubmed,50,1000,0.1,0.01,T,0,8591,-1,2070,10,0.033,1.0,200,0,200,0,3,True,1000,0.6666666865348816,20.0,2.164952278137207,0.43299999833106995,1.0893816947937012,0.46399998664855957,1.0900005102157593,0.8815768957138062,1.0,1.1029095649719238,0.30000001192092896
d0e7cecb,Planetoid-t|planetoid-t:train,2020-04-17 03:57:40,0:00:51,completed,data-seed=5687 dataset=pubmed epochs=1000 net-seed=6991 verbose=0,,5687,pubmed,50,1000,0.1,0.01,T,0,6991,-1,2070,10,0.033,1.0,200,0,200,0,3,True,1000,1.0,118.0,1.3832426071166992,0.3370000123977661,1.098602056503296,0.3440000116825104,1.097778081893921,0.863803505897522,1.0,1.094298243522644,0.3400000035762787
d49216cd,Planetoid-t|planetoid-t:train,2020-04-17 03:56:47,0:00:50,completed,data-seed=5687 dataset=pubmed epochs=1000 net-seed=5152 verbose=0,,5687,pubmed,50,1000,0.1,0.01,T,0,5152,-1,2070,10,0.033,1.0,200,0,200,0,3,True,1000,1.0,60.0,1.6625968217849731,0.4259999990463257,1.0959107875823975,0.43799999356269836,1.0956823825836182,0.8578654527664185,1.0,1.0904611349105835,0.414000004529953
d8909fd0,Planetoid-t|planetoid-t:train,2020-04-17 03:55:55,0:00:50,completed,data-seed=5687 dataset=pubmed epochs=1000 net-seed=819 verbose=0,,5687,pubmed,50,1000,0.1,0.01,T,0,819,-1,2070,10,0.033,1.0,200,0,200,0,3,True,1000,0.3333333432674408,31.0,2.226860284805298,0.3479999899864197,1.0983912944793701,0.35600000619888306,1.0984587669372559,0.8726209402084351,1.0,1.111424446105957,0.2280000001192093
598e0d99,Planetoid-t|planetoid-t:train,2020-04-17 03:55:02,0:00:50,completed,data-seed=5687 dataset=pubmed epochs=1000 net-seed=7932 verbose=0,,5687,pubmed,50,1000,0.1,0.01,T,0,7932,-1,2070,10,0.033,1.0,200,0,200,0,3,True,1000,1.0,126.0,1.2942100763320923,0.414000004529953,1.0912567377090454,0.4320000112056732,1.0908738374710083,0.8643907308578491,1.0,1.0864849090576172,0.414000004529953
c6953d0e,Planetoid-t|planetoid-t:train,2020-04-17 03:54:10,0:00:50,completed,data-seed=5687 dataset=pubmed epochs=1000 net-seed=3082 verbose=0,,5687,pubmed,50,1000,0.1,0.01,T,0,3082,-1,2070,10,0.033,1.0,200,0,200,0,3,True,1000,1.0,75.0,1.5841026306152344,0.39100000262260437,1.0969231128692627,0.3840000033378601,1.0975821018218994,0.8690036535263062,1.0,1.097615122795105,0.3240000009536743
5f606279,Planetoid-t|planetoid-t:train,2020-04-17 03:53:17,0:00:50,completed,data-seed=5687 dataset=pubmed epochs=1000 net-seed=1868 verbose=0,,5687,pubmed,50,1000,0.1,0.01,T,0,1868,-1,2070,10,0.033,1.0,200,0,200,0,3,True,1000,1.0,474.0,1.0239875316619873,0.3269999921321869,1.0988436937332153,0.3160000145435333,1.098188877105713,0.8715423941612244,1.0,1.09785795211792,0.31200000643730164
