run,operation,started,time,status,label,checkpoint-path,data-seed,dataset,embedding-dim,epochs,learning-rate-supervised,learning-rate-unsupervised,modality,neg-sample-rate,net-seed,patience,pretrain-batch,random-walk-length,supervised-batch,supervised-batch-size,unsupervised-batch,unsupervised-batch-size,verbose,window-size,yang-splits,step,bw_accuracy,bw_epoch,bw_loss,bw_test_accuracy,bw_test_loss,bw_val_accuracy,bw_val_loss,loss,masked_accuracy,val_loss,val_masked_accuracy
076fc233,Planetoid|planetoid:train-pubmed,2020-05-02 23:48:18,0:01:25,completed,data-seed=5687 net-seed=6083 verbose=0 yang-splits=yes,,5687,pubmed,50,1000,0.1,0.001,I,0,6083,-1,10400,10,1.0,200,0.1,20,0,3,True,1000,1.0,512.0,1.393211841583252,0.7369999885559082,0.9375518560409546,0.7540000081062317,0.9382178783416748,0.9030574560165405,1.0,0.8496676087379456,0.7300000190734863
e53298cf,Planetoid|planetoid:train-pubmed,2020-05-02 23:46:49,0:01:25,completed,data-seed=5687 net-seed=5556 verbose=0 yang-splits=yes,,5687,pubmed,50,1000,0.1,0.001,I,0,5556,-1,10400,10,1.0,200,0.1,20,0,3,True,1000,0.9833333492279053,510.0,1.3903545141220093,0.7319999933242798,0.9147858023643494,0.734000027179718,0.9115266799926758,0.9274836182594299,1.0,0.8398995399475098,0.7319999933242798
408dddd0,Planetoid|planetoid:train-pubmed,2020-05-02 23:45:20,0:01:25,completed,data-seed=5687 net-seed=649 verbose=0 yang-splits=yes,,5687,pubmed,50,1000,0.1,0.001,I,0,649,-1,10400,10,1.0,200,0.1,20,0,3,True,1000,1.0,794.0,1.0988215208053589,0.7260000109672546,0.8671122789382935,0.7120000123977661,0.8708916306495667,0.9675788283348083,1.0,0.8502020239830017,0.7099999785423279
5296e11b,Planetoid|planetoid:train-pubmed,2020-05-02 23:43:51,0:01:25,completed,data-seed=5687 net-seed=2042 verbose=0 yang-splits=yes,,5687,pubmed,50,1000,0.1,0.001,I,0,2042,-1,10400,10,1.0,200,0.1,20,0,3,True,1000,1.0,540.0,1.3917852640151978,0.7360000014305115,0.9148797392845154,0.7419999837875366,0.911624550819397,0.9471662044525146,1.0,0.8435808420181274,0.7279999852180481
c7b5d9d3,Planetoid|planetoid:train-pubmed,2020-05-02 23:42:22,0:01:25,completed,data-seed=5687 net-seed=1598 verbose=0 yang-splits=yes,,5687,pubmed,50,1000,0.1,0.001,I,0,1598,-1,10400,10,1.0,200,0.1,20,0,3,True,1000,1.0,617.0,1.1016883850097656,0.7440000176429749,0.8759087324142456,0.7379999756813049,0.8772913813591003,0.8883724808692932,1.0,0.8442245721817017,0.7279999852180481
d14eb631,Planetoid|planetoid:train-pubmed,2020-05-02 23:40:53,0:01:25,completed,data-seed=5687 net-seed=8591 verbose=0 yang-splits=yes,,5687,pubmed,50,1000,0.1,0.001,I,0,8591,-1,10400,10,1.0,200,0.1,20,0,3,True,1000,1.0,466.0,1.4840558767318726,0.7450000047683716,0.9402498602867126,0.7480000257492065,0.9413896799087524,0.9438662528991699,1.0,0.8458365201950073,0.734000027179718
51a87b03,Planetoid|planetoid:train-pubmed,2020-05-02 23:39:25,0:01:25,completed,data-seed=5687 net-seed=6991 verbose=0 yang-splits=yes,,5687,pubmed,50,1000,0.1,0.001,I,0,6991,-1,10400,10,1.0,200,0.1,20,0,3,True,1000,1.0,613.0,1.3024648427963257,0.7390000224113464,0.9118158221244812,0.7300000190734863,0.9118677377700806,0.9180133938789368,1.0,0.8519660830497742,0.7179999947547913
ff3355c0,Planetoid|planetoid:train-pubmed,2020-05-02 23:37:52,0:01:29,completed,data-seed=5687 net-seed=5152 verbose=0 yang-splits=yes,,5687,pubmed,50,1000,0.1,0.001,I,0,5152,-1,10400,10,1.0,200,0.1,20,0,3,True,1000,1.0,450.0,1.4669724702835083,0.7369999885559082,0.9481537342071533,0.7519999742507935,0.9464980363845825,0.8935036063194275,1.0,0.841672956943512,0.7360000014305115
4559d332,Planetoid|planetoid:train-pubmed,2020-05-02 23:36:23,0:01:25,completed,data-seed=5687 net-seed=819 verbose=0 yang-splits=yes,,5687,pubmed,50,1000,0.1,0.001,I,0,819,-1,10400,10,1.0,200,0.1,20,0,3,True,1000,1.0,513.0,1.43026602268219,0.75,0.9397200345993042,0.7459999918937683,0.9406763315200806,0.9308759570121765,1.0,0.8504847884178162,0.7300000190734863
d45a2007,Planetoid|planetoid:train-pubmed,2020-05-02 23:34:53,0:01:25,completed,data-seed=5687 net-seed=7932 verbose=0 yang-splits=yes,,5687,pubmed,50,1000,0.1,0.001,I,0,7932,-1,10400,10,1.0,200,0.1,20,0,3,True,1000,1.0,555.0,1.2929106950759888,0.7490000128746033,0.9010987281799316,0.7419999837875366,0.898430585861206,0.9191595315933228,1.0,0.8418962359428406,0.7300000190734863
e4adcd47,Planetoid|planetoid:train-pubmed,2020-05-02 23:33:24,0:01:26,completed,data-seed=5687 net-seed=3082 verbose=0 yang-splits=yes,,5687,pubmed,50,1000,0.1,0.001,I,0,3082,-1,10400,10,1.0,200,0.1,20,0,3,True,1000,1.0,642.0,1.1764569282531738,0.7350000143051147,0.8877453804016113,0.7260000109672546,0.889290452003479,0.9269285798072815,1.0,0.8480402231216431,0.7200000286102295
a82fadf4,Planetoid|planetoid:train-pubmed,2020-05-02 23:31:55,0:01:25,completed,data-seed=5687 net-seed=1868 verbose=0 yang-splits=yes,,5687,pubmed,50,1000,0.1,0.001,I,0,1868,-1,10400,10,1.0,200,0.1,20,0,3,True,1000,0.9833333492279053,503.0,1.4074125289916992,0.7250000238418579,0.9188904166221619,0.7459999918937683,0.9143557548522949,0.9263685941696167,1.0,0.8403042554855347,0.7319999933242798
77efd4dd,Planetoid|planetoid:train-pubmed,2020-05-02 23:30:26,0:01:25,completed,data-seed=5687 net-seed=5012 verbose=0 yang-splits=yes,,5687,pubmed,50,1000,0.1,0.001,I,0,5012,-1,10400,10,1.0,200,0.1,20,0,3,True,1000,1.0,539.0,1.4074513912200928,0.7429999709129333,0.9370098114013672,0.7379999756813049,0.9371528029441833,0.9303489923477173,1.0,0.850781261920929,0.7160000205039978
6c91d634,Planetoid|planetoid:train-pubmed,2020-05-02 23:28:57,0:01:25,completed,data-seed=5687 net-seed=2140 verbose=0 yang-splits=yes,,5687,pubmed,50,1000,0.1,0.001,I,0,2140,-1,10400,10,1.0,200,0.1,20,0,3,True,1000,0.9833333492279053,470.0,1.4453129768371582,0.722000002861023,0.9267511963844299,0.7360000014305115,0.9231736660003662,0.9192013144493103,1.0,0.8464787602424622,0.7120000123977661
e097da54,Planetoid|planetoid:train-pubmed,2020-05-02 23:27:29,0:01:25,completed,data-seed=5687 net-seed=9841 verbose=0 yang-splits=yes,,5687,pubmed,50,1000,0.1,0.001,I,0,9841,-1,10400,10,1.0,200,0.1,20,0,3,True,1000,1.0,550.0,1.4555331468582153,0.7369999885559082,0.953964114189148,0.7319999933242798,0.9558460712432861,0.9428460001945496,1.0,0.8576686382293701,0.7139999866485596
bead575e,Planetoid|planetoid:train-pubmed,2020-05-02 23:25:59,0:01:26,completed,data-seed=5687 net-seed=4215 verbose=0 yang-splits=yes,,5687,pubmed,50,1000,0.1,0.001,I,0,4215,-1,10400,10,1.0,200,0.1,20,0,3,True,1000,1.0,588.0,1.1463288068771362,0.7360000014305115,0.8769099712371826,0.734000027179718,0.8792135119438171,0.912840723991394,1.0,0.8474376201629639,0.7139999866485596
69355f7c,Planetoid|planetoid:train-pubmed,2020-05-02 23:24:30,0:01:25,completed,data-seed=5687 net-seed=4182 verbose=0 yang-splits=yes,,5687,pubmed,50,1000,0.1,0.001,I,0,4182,-1,10400,10,1.0,200,0.1,20,0,3,True,1000,1.0,599.0,1.3278179168701172,0.7360000014305115,0.90968918800354,0.7260000109672546,0.910029947757721,0.9443070292472839,1.0,0.8490909337997437,0.7179999947547913
1f90d456,Planetoid|planetoid:train-pubmed,2020-05-02 23:23:01,0:01:25,completed,data-seed=5687 net-seed=5130 verbose=0 yang-splits=yes,,5687,pubmed,50,1000,0.1,0.001,I,0,5130,-1,10400,10,1.0,200,0.1,20,0,3,True,1000,0.9833333492279053,481.0,1.383371114730835,0.7369999885559082,0.9152604937553406,0.7559999823570251,0.9112729430198669,0.9085795283317566,1.0,0.8366935849189758,0.7440000176429749
742c9ef1,Planetoid|planetoid:train-pubmed,2020-05-02 23:21:32,0:01:25,completed,data-seed=5687 net-seed=4088 verbose=0 yang-splits=yes,,5687,pubmed,50,1000,0.1,0.001,I,0,4088,-1,10400,10,1.0,200,0.1,20,0,3,True,1000,0.9833333492279053,509.0,1.4366002082824707,0.7329999804496765,0.9373546242713928,0.7419999837875366,0.9343380928039551,0.9199792742729187,1.0,0.845201849937439,0.7319999933242798
1f552a11,Planetoid|planetoid:train-pubmed,2020-05-02 23:20:03,0:01:25,completed,data-seed=5687 net-seed=1514 verbose=0 yang-splits=yes,,5687,pubmed,50,1000,0.1,0.001,I,0,1514,-1,10400,10,1.0,200,0.1,20,0,3,True,1000,1.0,454.0,1.6570439338684082,0.7300000190734863,0.9664610028266907,0.734000027179718,0.9622136950492859,0.9090540409088135,1.0,0.8499525189399719,0.7160000205039978
e2856020,Planetoid|planetoid:train-pubmed,2020-05-02 23:18:34,0:01:25,completed,data-seed=5687 net-seed=162 verbose=0 yang-splits=yes,,5687,pubmed,50,1000,0.1,0.001,I,0,162,-1,10400,10,1.0,200,0.1,20,0,3,True,1000,0.9833333492279053,625.0,1.3192331790924072,0.7099999785423279,0.9046870470046997,0.7319999933242798,0.9025747179985046,0.9376534819602966,1.0,0.8484341502189636,0.7139999866485596
97f85b95,Planetoid|planetoid:train-pubmed,2020-05-02 23:17:04,0:01:26,completed,data-seed=5687 net-seed=4676 verbose=0 yang-splits=yes,,5687,pubmed,50,1000,0.1,0.001,I,0,4676,-1,10400,10,1.0,200,0.1,20,0,3,True,1000,0.9833333492279053,565.0,1.3512825965881348,0.7319999933242798,0.9130504131317139,0.7480000257492065,0.9075196385383606,0.9297235608100891,1.0,0.8412547707557678,0.7360000014305115
