run,operation,started,time,status,label,checkpoint-path,data-seed,dataset,dropout-rate,epochs,hidden-units,l2-weight,learning-rate,net-seed,patience,verbose,step,bw_accuracy,bw_epoch,bw_loss,bw_test_accuracy,bw_test_loss,bw_val_accuracy,bw_val_loss,epoch_loss,epoch_masked_accuracy
e23fbc15,GCN|gcn:train,2020-04-13 20:20:46,0:00:32,completed,data-seed=5687 dataset=pubmed net-seed=6083 patience=40 verbose=0,,5687,pubmed,0.5,500,16,0.0005,0.01,6083,40,0,1,1.0,291.0,0.28985583782196045,0.7680000066757202,0.7559881210327148,0.7900000214576721,0.7595375776290894,0.30577898025512695,0.9833333492279053
535a9ea0,GCN|gcn:train,2020-04-13 20:20:10,0:00:33,completed,data-seed=5687 dataset=pubmed net-seed=5556 patience=40 verbose=0,,5687,pubmed,0.5,500,16,0.0005,0.01,5556,40,0,1,1.0,265.0,0.29788821935653687,0.765999972820282,0.7487031817436218,0.7739999890327454,0.7585253715515137,0.36080121994018555,0.9333333373069763
1937bbd0,GCN|gcn:train,2020-04-13 20:19:36,0:00:31,completed,data-seed=5687 dataset=pubmed net-seed=649 patience=40 verbose=0,,5687,pubmed,0.5,500,16,0.0005,0.01,649,40,0,1,1.0,289.0,0.2988700568675995,0.7680000066757202,0.7616402506828308,0.7860000133514404,0.7673296332359314,0.34185317158699036,0.949999988079071
65733c52,GCN|gcn:train,2020-04-13 20:19:04,0:00:29,completed,data-seed=5687 dataset=pubmed net-seed=2042 patience=40 verbose=0,,5687,pubmed,0.5,500,16,0.0005,0.01,2042,40,0,1,0.9666666388511658,218.0,0.35018497705459595,0.7699999809265137,0.7570080757141113,0.777999997138977,0.7572410702705383,0.42642366886138916,0.9333333373069763
834927e7,GCN|gcn:train,2020-04-13 20:18:24,0:00:36,completed,data-seed=5687 dataset=pubmed net-seed=1598 patience=40 verbose=0,,5687,pubmed,0.5,500,16,0.0005,0.01,1598,40,0,1,0.9833333492279053,301.0,0.2967087924480438,0.7739999890327454,0.7508307099342346,0.7860000133514404,0.7643600106239319,0.39771637320518494,0.8833333253860474
ed30e422,GCN|gcn:train,2020-04-13 20:17:44,0:00:38,completed,data-seed=5687 dataset=pubmed net-seed=8591 patience=40 verbose=0,,5687,pubmed,0.5,500,16,0.0005,0.01,8591,40,0,1,1.0,346.0,0.27204471826553345,0.7649999856948853,0.7485303282737732,0.7799999713897705,0.763297975063324,0.32208162546157837,0.9833333492279053
d68e5bcb,GCN|gcn:train,2020-04-13 20:17:11,0:00:30,completed,data-seed=5687 dataset=pubmed net-seed=6991 patience=40 verbose=0,,5687,pubmed,0.5,500,16,0.0005,0.01,6991,40,0,1,1.0,226.0,0.33026623725891113,0.7630000114440918,0.767260730266571,0.7820000052452087,0.7642911672592163,0.36874282360076904,0.9333333373069763
3fa698f7,GCN|gcn:train,2020-04-13 20:16:36,0:00:32,completed,data-seed=5687 dataset=pubmed net-seed=5152 patience=40 verbose=0,,5687,pubmed,0.5,500,16,0.0005,0.01,5152,40,0,1,1.0,295.0,0.2976531386375427,0.7730000019073486,0.7465093731880188,0.7820000052452087,0.7660612463951111,0.3688899576663971,0.9333333373069763
5ed5072a,GCN|gcn:train,2020-04-13 20:16:03,0:00:30,completed,data-seed=5687 dataset=pubmed net-seed=819 patience=40 verbose=0,,5687,pubmed,0.5,500,16,0.0005,0.01,819,40,0,1,1.0,232.0,0.3248784840106964,0.7710000276565552,0.762404203414917,0.7860000133514404,0.764263927936554,0.3755006790161133,0.949999988079071
75935fd5,GCN|gcn:train,2020-04-13 20:15:29,0:00:31,completed,data-seed=5687 dataset=pubmed net-seed=7932 patience=40 verbose=0,,5687,pubmed,0.5,500,16,0.0005,0.01,7932,40,0,1,0.9833333492279053,241.0,0.32202965021133423,0.7720000147819519,0.7508429288864136,0.7820000052452087,0.7590153217315674,0.3762718439102173,0.9666666388511658
fd0c6604,GCN|gcn:train,2020-04-13 20:14:50,0:00:36,completed,data-seed=5687 dataset=pubmed net-seed=3082 patience=40 verbose=0,,5687,pubmed,0.5,500,16,0.0005,0.01,3082,40,0,1,1.0,325.0,0.278480589389801,0.7649999856948853,0.7614609599113464,0.7900000214576721,0.785743772983551,0.3046397566795349,0.9833333492279053
a62af983,GCN|gcn:train,2020-04-13 20:14:18,0:00:29,completed,data-seed=5687 dataset=pubmed net-seed=1868 patience=40 verbose=0,,5687,pubmed,0.5,500,16,0.0005,0.01,1868,40,0,1,0.9666666388511658,212.0,0.3570164442062378,0.7770000100135803,0.7494443655014038,0.777999997138977,0.7650583386421204,0.3736107647418976,0.9666666388511658
