run,operation,started,time,status,label,checkpoint-path,data-seed,dataset,dropout-rate,epochs,hidden-units,l2-weight,learning-rate,net-seed,num-polynomials,verbose,step,best_accuracy,best_loss,best_test_accuracy,best_test_loss,best_val_accuracy,best_val_loss,epoch_loss,epoch_masked_accuracy
8ea17b5a,ChebNet|chebnet:train-pubmed,2020-04-11 12:38:24,0:00:37,completed,data-seed=5687 epochs=1000 net-seed=6473 verbose=0,,5687,pubmed,0.5,1000,16,0.0005,0.01,6473,4,0,1,1.0,0.1550174206495285,0.6949999928474426,0.8622617721557617,0.75,0.7813562750816345,0.1965915560722351,1.0
9a785b25,ChebNet|chebnet:train-pubmed,2020-04-11 12:37:29,0:00:50,completed,data-seed=5687 epochs=1000 net-seed=872 verbose=0,,5687,pubmed,0.5,1000,16,0.0005,0.01,872,4,0,1,1.0,0.12177488207817078,0.7419999837875366,0.7742271423339844,0.7599999904632568,0.7738484144210815,0.1563345491886139,1.0
2117797d,ChebNet|chebnet:train-pubmed,2020-04-11 12:36:41,0:00:44,completed,data-seed=5687 epochs=1000 net-seed=8964 verbose=0,,5687,pubmed,0.5,1000,16,0.0005,0.01,8964,4,0,1,1.0,0.1367291957139969,0.765999972820282,0.7527757883071899,0.7799999713897705,0.748497486114502,0.17507246136665344,1.0
2cd233c3,ChebNet|chebnet:train-pubmed,2020-04-11 12:36:11,0:00:26,completed,data-seed=5687 epochs=1000 net-seed=5688 verbose=0,,5687,pubmed,0.5,1000,16,0.0005,0.01,5688,4,0,1,1.0,0.25410401821136475,0.734000027179718,0.8239814639091492,0.7459999918937683,0.8180153965950012,0.28483453392982483,1.0
b17fb01d,ChebNet|chebnet:train-pubmed,2020-04-11 12:35:41,0:00:25,completed,data-seed=5687 epochs=1000 net-seed=6608 verbose=0,,5687,pubmed,0.5,1000,16,0.0005,0.01,6608,4,0,1,1.0,0.2544325590133667,0.765999972820282,0.8130468726158142,0.7820000052452087,0.8360224366188049,0.2868333160877228,0.9833333492279053
d49a618f,ChebNet|chebnet:train-pubmed,2020-04-11 12:34:55,0:00:42,completed,data-seed=5687 epochs=1000 net-seed=9399 verbose=0,,5687,pubmed,0.5,1000,16,0.0005,0.01,9399,4,0,1,1.0,0.13286687433719635,0.7450000047683716,0.790777862071991,0.7599999904632568,0.7813720107078552,0.1632053256034851,1.0
a126a580,ChebNet|chebnet:train-pubmed,2020-04-11 12:34:08,0:00:43,completed,data-seed=5687 epochs=1000 net-seed=4975 verbose=0,,5687,pubmed,0.5,1000,16,0.0005,0.01,4975,4,0,1,1.0,0.1477169394493103,0.7480000257492065,0.782642662525177,0.7699999809265137,0.775126039981842,0.1919434368610382,1.0
8ccbe4f0,ChebNet|chebnet:train-pubmed,2020-04-11 12:32:56,0:01:08,completed,data-seed=5687 epochs=1000 net-seed=551 verbose=0,,5687,pubmed,0.5,1000,16,0.0005,0.01,551,4,0,1,1.0,0.10801815986633301,0.7409999966621399,0.7891824245452881,0.7820000052452087,0.7512080669403076,0.14916643500328064,1.0
9bb88781,ChebNet|chebnet:train-pubmed,2020-04-11 12:31:59,0:00:52,completed,data-seed=5687 epochs=1000 net-seed=1353 verbose=0,,5687,pubmed,0.5,1000,16,0.0005,0.01,1353,4,0,1,1.0,0.13018706440925598,0.7419999837875366,0.7760754823684692,0.7760000228881836,0.7521728873252869,0.1749868094921112,1.0
378343de,ChebNet|chebnet:train-pubmed,2020-04-11 12:31:20,0:00:34,completed,data-seed=5687 epochs=1000 net-seed=9516 verbose=0,,5687,pubmed,0.5,1000,16,0.0005,0.01,9516,4,0,1,1.0,0.21227364242076874,0.6769999861717224,0.8960070610046387,0.734000027179718,0.8291001915931702,0.28421705961227417,1.0
b60c91c6,ChebNet|chebnet:train-cora,2020-04-11 12:30:53,0:00:18,completed,data-seed=5687 epochs=1000 net-seed=6473 verbose=0,,5687,cora,0.5,1000,16,0.0005,0.01,6473,3,0,1,1.0,0.27807214856147766,0.7440000176429749,1.0269889831542969,0.7120000123977661,1.1417256593704224,0.41280704736709595,1.0
54dec605,ChebNet|chebnet:train-cora,2020-04-11 12:30:30,0:00:18,completed,data-seed=5687 epochs=1000 net-seed=872 verbose=0,,5687,cora,0.5,1000,16,0.0005,0.01,872,3,0,1,1.0,0.2724081575870514,0.7379999756813049,1.0253173112869263,0.6800000071525574,1.1471529006958008,0.39273494482040405,0.9928571581840515
d6f1ccfc,ChebNet|chebnet:train-cora,2020-04-11 12:30:07,0:00:17,completed,data-seed=5687 epochs=1000 net-seed=8964 verbose=0,,5687,cora,0.5,1000,16,0.0005,0.01,8964,3,0,1,1.0,0.2619308531284332,0.8149999976158142,0.8928781747817993,0.7739999890327454,1.0149661302566528,0.3581289052963257,1.0
