run,operation,started,time,status,label,checkpoint-path,coefs-drop-rate,data-seed,dataset,epochs,feat-drop-rate,hidden-units,l2-weight,learning-rate,net-seed,nheads,patience,verbose,step,best_accuracy,best_loss,best_test_accuracy,best_test_loss,best_val_accuracy,best_val_loss,epoch_loss,epoch_masked_accuracy
2f3eecd6,GAT|gat:train-pubmed,2020-04-11 13:19:12,0:01:36,completed,data-seed=5687 epochs=1000 net-seed=6473 verbose=0,,0.4,5687,pubmed,1000,0.4,8,0.001,0.01,6473,"8,8",100,0,1,0.9666666388511658,4.202087879180908,0.6940000057220459,4.487419128417969,0.7300000190734863,4.4113545417785645,4.270543575286865,0.8166666626930237
a67ff87c,GAT|gat:train-pubmed,2020-04-11 13:17:17,0:01:51,completed,data-seed=5687 epochs=1000 net-seed=872 verbose=0,,0.4,5687,pubmed,1000,0.4,8,0.001,0.01,872,"8,8",100,0,1,0.9833333492279053,4.210056304931641,0.6940000057220459,4.489379405975342,0.7200000286102295,4.416683673858643,4.285430431365967,0.6833333373069763
e0bc7180,GAT|gat:train-pubmed,2020-04-11 13:15:27,0:01:47,completed,data-seed=5687 epochs=1000 net-seed=8964 verbose=0,,0.4,5687,pubmed,1000,0.4,8,0.001,0.01,8964,"8,8",100,0,1,0.949999988079071,4.246660232543945,0.6880000233650208,4.491185188293457,0.722000002861023,4.417269706726074,4.241805076599121,0.7666666507720947
d06d1aab,GAT|gat:train-pubmed,2020-04-11 13:13:45,0:01:38,completed,data-seed=5687 epochs=1000 net-seed=5688 verbose=0,,0.4,5687,pubmed,1000,0.4,8,0.001,0.01,5688,"8,8",100,0,1,0.9666666388511658,4.255695819854736,0.7129999995231628,4.489226818084717,0.7400000095367432,4.415457248687744,4.2730712890625,0.800000011920929
28cf58fb,GAT|gat:train-pubmed,2020-04-11 13:11:02,0:02:39,completed,data-seed=5687 epochs=1000 net-seed=6608 verbose=0,,0.4,5687,pubmed,1000,0.4,8,0.001,0.01,6608,"8,8",100,0,1,0.9333333373069763,4.309737205505371,0.6990000009536743,4.509893417358398,0.7200000286102295,4.432926654815674,4.335654258728027,0.7166666388511658
e557e517,GAT|gat:train-pubmed,2020-04-11 13:08:26,0:02:33,completed,data-seed=5687 epochs=1000 net-seed=9399 verbose=0,,0.4,5687,pubmed,1000,0.4,8,0.001,0.01,9399,"8,8",100,0,1,0.9333333373069763,4.335606575012207,0.7149999737739563,4.5154337882995605,0.7260000109672546,4.437965393066406,4.278227806091309,0.7333333492279053
e0518835,GAT|gat:train-pubmed,2020-04-11 13:06:35,0:01:48,completed,data-seed=5687 epochs=1000 net-seed=4975 verbose=0,,0.4,5687,pubmed,1000,0.4,8,0.001,0.01,4975,"8,8",100,0,1,0.9166666865348816,4.251780986785889,0.675000011920929,4.49690055847168,0.7099999785423279,4.419172286987305,4.3211541175842285,0.7166666388511658
03e571d4,GAT|gat:train-pubmed,2020-04-11 13:04:34,0:01:58,completed,data-seed=5687 epochs=1000 net-seed=551 verbose=0,,0.4,5687,pubmed,1000,0.4,8,0.001,0.01,551,"8,8",100,0,1,0.9333333373069763,4.30198335647583,0.652999997138977,4.50748872756958,0.7020000219345093,4.4278130531311035,4.240242958068848,0.8666666746139526
059735b6,GAT|gat:train-pubmed,2020-04-11 13:03:00,0:01:30,completed,data-seed=5687 epochs=1000 net-seed=1353 verbose=0,,0.4,5687,pubmed,1000,0.4,8,0.001,0.01,1353,"8,8",100,0,1,0.949999988079071,4.326375961303711,0.6899999976158142,4.511447906494141,0.7160000205039978,4.434747695922852,4.263403415679932,0.7833333611488342
4f657cdb,GAT|gat:train-pubmed,2020-04-11 13:01:29,0:01:27,completed,data-seed=5687 epochs=1000 net-seed=9516 verbose=0,,0.4,5687,pubmed,1000,0.4,8,0.001,0.01,9516,"8,8",100,0,1,0.949999988079071,4.255163192749023,0.6940000057220459,4.491174697875977,0.7319999933242798,4.413895606994629,4.2957611083984375,0.800000011920929
106527e7,GAT|gat:train-cora,2020-04-11 13:00:53,0:00:29,completed,data-seed=5687 epochs=1000 net-seed=6473 verbose=0,,0.4,5687,cora,1000,0.4,8,0.0005,0.005,6473,"8,1",100,0,1,0.949999988079071,1.5667204856872559,0.8069999814033508,1.8499782085418701,0.7699999809265137,1.7966763973236084,0.9097452759742737,0.7928571701049805
7093c6d6,GAT|gat:train-cora,2020-04-11 13:00:20,0:00:30,completed,data-seed=5687 epochs=1000 net-seed=872 verbose=0,,0.4,5687,cora,1000,0.4,8,0.0005,0.005,872,"8,1",100,0,1,0.9642857313156128,1.2725363969802856,0.8140000104904175,1.6390509605407715,0.7739999890327454,1.6124582290649414,0.9135721921920776,0.7785714268684387
5a058c66,GAT|gat:train-cora,2020-04-11 12:59:49,0:00:28,completed,data-seed=5687 epochs=1000 net-seed=8964 verbose=0,,0.4,5687,cora,1000,0.4,8,0.0005,0.005,8964,"8,1",100,0,1,0.9571428298950195,1.487178087234497,0.8100000023841858,1.797292709350586,0.7599999904632568,1.7544102668762207,0.9430344700813293,0.7928571701049805
c674688a,GAT|gat:train-cora,2020-04-11 12:59:16,0:00:29,completed,data-seed=5687 epochs=1000 net-seed=5688 verbose=0,,0.4,5687,cora,1000,0.4,8,0.0005,0.005,5688,"8,1",100,0,1,0.949999988079071,1.6687151193618774,0.8289999961853027,1.91234290599823,0.7900000214576721,1.844011902809143,0.870700478553772,0.7857142686843872
a31c3f5b,GAT|gat:train-cora,2020-04-11 12:58:45,0:00:27,completed,data-seed=5687 epochs=1000 net-seed=6608 verbose=0,,0.4,5687,cora,1000,0.4,8,0.0005,0.005,6608,"8,1",100,0,1,0.9571428298950195,1.6909372806549072,0.8309999704360962,1.939100980758667,0.7739999890327454,1.8741278648376465,0.8947949409484863,0.7714285850524902
96c0d8bf,GAT|gat:train-cora,2020-04-11 12:58:12,0:00:30,completed,data-seed=5687 epochs=1000 net-seed=9399 verbose=0,,0.4,5687,cora,1000,0.4,8,0.0005,0.005,9399,"8,1",100,0,1,0.9214285612106323,1.9940136671066284,0.8320000171661377,2.162224292755127,0.8019999861717224,2.0756444931030273,0.8996701240539551,0.7785714268684387
03a63275,GAT|gat:train-cora,2020-04-11 12:57:38,0:00:30,completed,data-seed=5687 epochs=1000 net-seed=4975 verbose=0,,0.4,5687,cora,1000,0.4,8,0.0005,0.005,4975,"8,1",100,0,1,0.9642857313156128,1.1948933601379395,0.828000009059906,1.5794585943222046,0.7820000052452087,1.5543731451034546,0.9753773212432861,0.7428571581840515
c3a6202b,GAT|gat:train-cora,2020-04-11 12:57:07,0:00:28,completed,data-seed=5687 epochs=1000 net-seed=551 verbose=0,,0.4,5687,cora,1000,0.4,8,0.0005,0.005,551,"8,1",100,0,1,0.9285714030265808,1.9246782064437866,0.8240000009536743,2.1043126583099365,0.8080000281333923,2.0197105407714844,0.9469915628433228,0.75
3d55999c,GAT|gat:train-cora,2020-04-11 12:56:36,0:00:28,completed,data-seed=5687 epochs=1000 net-seed=1353 verbose=0,,0.4,5687,cora,1000,0.4,8,0.0005,0.005,1353,"8,1",100,0,1,0.9428571462631226,1.7536253929138184,0.7960000038146973,1.990077257156372,0.7720000147819519,1.9158321619033813,0.8672635555267334,0.8142856955528259
c6b40238,GAT|gat:train-cora,2020-04-11 12:56:02,0:00:30,completed,data-seed=5687 epochs=1000 net-seed=9516 verbose=0,,0.4,5687,cora,1000,0.4,8,0.0005,0.005,9516,"8,1",100,0,1,0.9571428298950195,1.4678146839141846,0.8320000171661377,1.7752161026000977,0.7839999794960022,1.7261544466018677,0.8388769626617432,0.8071428537368774
8ef1f26d,GAT|gat:train-citeseer,2020-04-11 12:55:15,0:00:40,completed,data-seed=5687 epochs=1000 net-seed=6473 verbose=0,,0.4,5687,citeseer,1000,0.4,8,0.0005,0.005,6473,"8,1",100,0,1,0.9333333373069763,1.628966212272644,0.6389999985694885,1.9531686305999756,0.6800000071525574,1.8772066831588745,1.153689980506897,0.625
cbe1153e,GAT|gat:train-citeseer,2020-04-11 12:54:34,0:00:38,completed,data-seed=5687 epochs=1000 net-seed=872 verbose=0,,0.4,5687,citeseer,1000,0.4,8,0.0005,0.005,872,"8,1",100,0,1,0.9416666626930237,1.5249683856964111,0.6399999856948853,1.9088268280029297,0.6859999895095825,1.8347381353378296,1.0807819366455078,0.6333333253860474
9f481c0c,GAT|gat:train-citeseer,2020-04-11 12:53:53,0:00:37,completed,data-seed=5687 epochs=1000 net-seed=8964 verbose=0,,0.4,5687,citeseer,1000,0.4,8,0.0005,0.005,8964,"8,1",100,0,1,0.9583333134651184,1.1737309694290161,0.6359999775886536,1.7825993299484253,0.6520000100135803,1.71579909324646,1.0168087482452393,0.6833333373069763
224bad43,GAT|gat:train-citeseer,2020-04-11 12:53:11,0:00:39,completed,data-seed=5687 epochs=1000 net-seed=5688 verbose=0,,0.4,5687,citeseer,1000,0.4,8,0.0005,0.005,5688,"8,1",100,0,1,0.9166666865348816,1.6831074953079224,0.6650000214576721,1.9697902202606201,0.6759999990463257,1.8934102058410645,1.0543521642684937,0.6416666507720947
