run,operation,started,time,status,label,checkpoint-path,data-seed,dataset,dropout-rate,epochs,hidden-units,l2-weight,learning-rate,net-seed,patience,verbose,step,bw_accuracy,bw_loss,bw_test_accuracy,bw_test_loss,bw_val_accuracy,bw_val_loss,epoch_loss,epoch_masked_accuracy
87ecd86e,GCN|gcn:train,2020-04-11 22:25:26,0:00:23,completed,data-seed=5687 dataset=pubmed net-seed=5154 verbose=0,,5687,pubmed,0.5,400,16,0.0005,0.01,5154,20,0,1,1.0,0.32092440128326416,0.7680000066757202,0.7588440775871277,0.7839999794960022,0.7678670287132263,0.3895379900932312,0.9333333373069763
41bc3ad7,GCN|gcn:train,2020-04-11 22:24:53,0:00:29,completed,data-seed=5687 dataset=pubmed net-seed=4848 verbose=0,,5687,pubmed,0.5,400,16,0.0005,0.01,4848,20,0,1,1.0,0.3484690189361572,0.7639999985694885,0.7618017792701721,0.7799999713897705,0.7645272016525269,0.3978990912437439,0.949999988079071
74619d8a,GCN|gcn:train,2020-04-11 22:24:19,0:00:30,completed,data-seed=5687 dataset=pubmed net-seed=7075 verbose=0,,5687,pubmed,0.5,400,16,0.0005,0.01,7075,20,0,1,0.9833333492279053,0.3343930244445801,0.7649999856948853,0.7820725440979004,0.7799999713897705,0.7840949892997742,0.38587331771850586,0.9666666388511658
24f38bab,GCN|gcn:train,2020-04-11 22:23:42,0:00:32,completed,data-seed=5687 dataset=pubmed net-seed=9099 verbose=0,,5687,pubmed,0.5,400,16,0.0005,0.01,9099,20,0,1,1.0,0.3179186284542084,0.7620000243186951,0.7694526314735413,0.7860000133514404,0.7691671252250671,0.39286142587661743,0.9333333373069763
9d5e89a3,GCN|gcn:train,2020-04-11 22:23:16,0:00:24,completed,data-seed=5687 dataset=pubmed net-seed=2107 verbose=0,,5687,pubmed,0.5,400,16,0.0005,0.01,2107,20,0,1,1.0,0.354155033826828,0.7699999809265137,0.7647589445114136,0.7799999713897705,0.7757340669631958,0.4263390302658081,0.9666666388511658
7f810459,GCN|gcn:train,2020-04-11 22:22:37,0:00:34,completed,data-seed=5687 dataset=pubmed net-seed=8175 verbose=0,,5687,pubmed,0.5,400,16,0.0005,0.01,8175,20,0,1,1.0,0.3099386692047119,0.7680000066757202,0.7577121257781982,0.7860000133514404,0.7623113393783569,0.40882185101509094,0.9666666388511658
c7392cd4,GCN|gcn:train,2020-04-11 22:22:04,0:00:28,completed,data-seed=5687 dataset=pubmed net-seed=1356 verbose=0,,5687,pubmed,0.5,400,16,0.0005,0.01,1356,20,0,1,0.9666666388511658,0.34854769706726074,0.7680000066757202,0.7639039754867554,0.777999997138977,0.7609310150146484,0.4568042755126953,0.9166666865348816
a7174b1e,GCN|gcn:train,2020-04-11 22:21:31,0:00:29,completed,data-seed=5687 dataset=pubmed net-seed=828 verbose=0,,5687,pubmed,0.5,400,16,0.0005,0.01,828,20,0,1,0.9666666388511658,0.35352304577827454,0.7680000066757202,0.7626063227653503,0.777999997138977,0.7680700421333313,0.42769956588745117,0.9166666865348816
d4fb9b89,GCN|gcn:train,2020-04-11 22:20:56,0:00:31,completed,data-seed=5687 dataset=pubmed net-seed=5414 verbose=0,,5687,pubmed,0.5,400,16,0.0005,0.01,5414,20,0,1,0.9833333492279053,0.3069237470626831,0.765999972820282,0.7520877122879028,0.7760000228881836,0.7564207315444946,0.3119550347328186,0.9833333492279053
5aa79e91,GCN|gcn:train,2020-04-11 22:20:31,0:00:22,completed,data-seed=5687 dataset=pubmed net-seed=9493 verbose=0,,5687,pubmed,0.5,400,16,0.0005,0.01,9493,20,0,1,0.9833333492279053,0.3623625338077545,0.7689999938011169,0.7684128880500793,0.7760000228881836,0.7709169983863831,0.4481533169746399,0.8833333253860474
ee46fadb,GCN|gcn:train,2020-04-11 22:19:58,0:00:29,completed,data-seed=5687 dataset=pubmed net-seed=728 verbose=0,,5687,pubmed,0.5,400,16,0.0005,0.01,728,20,0,1,0.9833333492279053,0.3566135764122009,0.7649999856948853,0.7646113634109497,0.777999997138977,0.767799973487854,0.4382047653198242,0.949999988079071
dd5e7737,GCN|gcn:train,2020-04-11 22:19:19,0:00:34,completed,data-seed=5687 dataset=pubmed net-seed=7135 verbose=0,,5687,pubmed,0.5,400,16,0.0005,0.01,7135,20,0,1,1.0,0.3103179335594177,0.7689999938011169,0.746806263923645,0.777999997138977,0.7598879933357239,0.3943173587322235,0.9333333373069763
9e904e3e,GCN|gcn:train,2020-04-11 22:18:45,0:00:30,completed,data-seed=5687 dataset=pubmed net-seed=2674 verbose=0,,5687,pubmed,0.5,400,16,0.0005,0.01,2674,20,0,1,1.0,0.2936263680458069,0.7670000195503235,0.7526249885559082,0.7860000133514404,0.7528121471405029,0.3598601222038269,0.9666666388511658
9ba65302,GCN|gcn:train,2020-04-11 22:18:13,0:00:29,completed,data-seed=5687 dataset=pubmed net-seed=2616 verbose=0,,5687,pubmed,0.5,400,16,0.0005,0.01,2616,20,0,1,1.0,0.3368802070617676,0.7670000195503235,0.7712411284446716,0.7860000133514404,0.7691202163696289,0.39165955781936646,0.9833333492279053
